"Time","Angle, Ch 1+2 (rad) Run #28","Angle, Ch 3+4 (rad) Run #28","Angle, Ch 1+2 (rad) Run #29","Angle, Ch 3+4 (rad) Run #29","Angle, Ch 1+2 (rad) Run #30","Angle, Ch 3+4 (rad) Run #30","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
0,0,0.279,-0.035,-0.297,0.105,-0.157,0.0233333333333333,0.0728583099813147,-0.0583333333333333,0.300408610617827
0.05,0.017,0.576,-0.087,-0.576,0.227,-0.384,0.0523333333333333,0.159954160100115,-0.128,0.617193648703549
0.1,0.07,0.89,-0.157,-0.855,0.332,-0.646,0.0816666666666667,0.244708670327255,-0.203666666666667,0.952890514872162
0.15,0.157,1.187,-0.262,-1.1,0.401,-0.942,0.0986666666666667,0.335327203389963,-0.285,1.27723490400161
0.2,0.262,1.466,-0.401,-1.292,0.454,-1.239,0.105,0.448601159160339,-0.355,1.57725489379491
0.25,0.384,1.693,-0.541,-1.449,0.454,-1.536,0.099,0.55536024344564,-0.430666666666667,1.83966364679344
0.3,0.559,1.868,-0.716,-1.553,0.419,-1.815,0.0873333333333334,0.699219803304607,-0.5,2.05492797927324
0.35,0.733,1.955,-0.89,-1.606,0.314,-2.059,0.0523333333333333,0.842546338982808,-0.57,2.19841329144454
0.4,0.925,1.972,-1.065,-1.588,0.175,-2.269,0.0116666666666667,1.00500414592843,-0.628333333333333,2.27755138983368
0.45,1.134,1.885,-1.239,-1.518,0,-2.426,-0.0350000000000001,1.18688710499356,-0.686333333333333,2.27264874834043
0.5,1.309,1.728,-1.396,-1.396,-0.227,-2.531,-0.104666666666667,1.35664303828728,-0.733,2.20554913796995
0.55,1.484,1.518,-1.518,-1.222,-0.471,-2.583,-0.168333333333333,1.52371464957627,-0.762333333333333,2.08878441523613
0.6,1.606,1.257,-1.588,-0.995,-0.733,-2.566,-0.238333333333333,1.65346010938678,-0.768,1.92158242081884
0.65,1.693,0.96,-1.606,-0.733,-0.995,-2.496,-0.302666666666667,1.75509097579964,-0.756333333333333,1.72811814796713
0.7,1.693,0.663,-1.571,-0.436,-1.239,-2.374,-0.372333333333333,1.79631771503076,-0.715666666666667,1.53769383601981
0.75,1.641,0.367,-1.466,-0.122,-1.466,-2.199,-0.430333333333333,1.79382728637217,-0.651333333333333,1.3624369098543
0.8,1.518,0.087,-1.309,0.175,-1.641,-1.972,-0.477333333333333,1.73596438135502,-0.57,1.21496460853804
0.85,1.309,-0.157,-1.1,0.471,-1.763,-1.693,-0.518,1.61658250640046,-0.459666666666667,1.11329660618064
0.9,1.065,-0.367,-0.855,0.716,-1.815,-1.414,-0.535,1.46642422238587,-0.355,1.06505070301841
0.95,0.75,-0.524,-0.559,0.908,-1.78,-1.1,-0.529666666666667,1.26525504675276,-0.238666666666667,1.03396195932604
1,0.419,-0.646,-0.244,1.03,-1.693,-0.785,-0.506,1.08010138413021,-0.133666666666667,1.01015856841059
1.05,0.052,-0.698,0.105,1.065,-1.501,-0.506,-0.448,0.91230970618535,-0.0463333333333333,0.967218865269559
1.1,-0.314,-0.681,0.436,1.03,-1.257,-0.262,-0.378333333333333,0.848331499670579,0.029,0.891846959965666
1.15,-0.663,-0.628,0.75,0.89,-0.925,-0.07,-0.279333333333333,0.901002959669575,0.064,0.767820291474509
1.2,-0.977,-0.506,1.03,0.698,-0.559,0.052,-0.168666666666667,1.05890619666396,0.0813333333333333,0.602535752742801
1.25,-1.239,-0.332,1.257,0.454,-0.14,0.087,-0.0406666666666667,1.25096136364531,0.0696666666666667,0.393286579142148
1.3,-1.431,-0.122,1.396,0.175,0.297,0.035,0.0873333333333333,1.42511484917298,0.0293333333333333,0.148581066537205
1.35,-1.553,0.14,1.466,-0.122,0.716,-0.105,0.209666666666667,1.57190023008247,-0.029,0.146604911241063
1.4,-1.588,0.436,1.449,-0.419,1.117,-0.297,0.326,1.6658640400705,-0.0933333333333333,0.462456844833476
1.45,-1.518,0.75,1.326,-0.698,1.449,-0.559,0.419,1.67861818171971,-0.169,0.798906127151369
1.5,-1.361,1.047,1.117,-0.96,1.71,-0.838,0.488666666666667,1.62906793392213,-0.250333333333333,1.12517835623217
1.55,-1.117,1.344,0.803,-1.187,1.85,-1.134,0.512,1.50475346818009,-0.325666666666667,1.446216558242
1.6,-0.768,1.588,0.436,-1.361,1.868,-1.431,0.512,1.31964237579732,-0.401333333333333,1.72316868974959
1.65,-0.367,1.798,-0.017,-1.501,1.78,-1.728,0.465333333333333,1.15190552274626,-0.477,1.97347434743905
1.7,0.122,1.92,-0.524,-1.571,1.571,-1.99,0.389666666666667,1.07284217540761,-0.547,2.1467317019134
1.75,0.646,1.972,-1.03,-1.606,1.239,-2.199,0.285,1.17678842618374,-0.611,2.25650814312734
1.8,1.204,1.937,-1.553,-1.571,0.82,-2.374,0.157,1.49329802785646,-0.669333333333333,2.29258202325093
1.85,1.728,1.815,-2.042,-1.466,0.314,-2.496,5.55111512312578e-17,1.90451358619465,-0.715666666666667,2.25131746613696
1.9,2.217,1.623,-2.461,-1.326,-0.227,-2.566,-0.157,2.33978546025058,-0.756333333333333,2.1518179136101
1.95,2.635,1.396,-2.793,-1.134,-0.82,-2.583,-0.326,2.74751214737988,-0.773666666666667,2.01382480204543
2,2.95,1.117,-3.002,-0.89,-1.396,-2.531,-0.482666666666667,3.07931962182124,-0.768,1.82705747036047
2.05,3.142,0.82,-3.089,-0.611,-1.955,-2.426,-0.634,3.31890358401687,-0.739,1.62678117766343
2.1,3.194,0.524,-3.054,-0.314,-2.443,-2.269,-0.767666666666667,3.4444785285052,-0.686333333333333,1.43324329174545
2.15,3.089,0.227,-2.88,-0.017,-2.827,-2.059,-0.872666666666667,3.43100631496553,-0.616333333333333,1.25532837669406
2.2,2.827,-0.035,-2.583,0.279,-3.107,-1.815,-0.954333333333333,3.28519486991766,-0.523666666666667,1.12929417484256
2.25,2.443,-0.262,-2.147,0.559,-3.264,-1.518,-0.989333333333333,3.0245010056757,-0.407,1.04606452955829
2.3,1.937,-0.454,-1.623,0.785,-3.264,-1.222,-0.983333333333333,2.65884943788349,-0.297,1.01266924511412
2.35,1.326,-0.593,-1.012,0.96,-3.107,-0.908,-0.931,2.21760974925707,-0.180333333333333,1.00003816593835
2.4,0.646,-0.663,-0.332,1.047,-2.827,-0.611,-0.837666666666667,1.79086748067336,-0.0756666666666667,0.972605435586977
2.45,-0.052,-0.698,0.349,1.065,-2.409,-0.349,-0.704,1.49012382035856,0.00600000000000001,0.933574314128233
2.5,-0.75,-0.663,1.03,0.977,-1.885,-0.14,-0.535,1.46934509220945,0.058,0.837736832185383
2.55,-1.431,-0.576,1.658,0.838,-1.257,0.017,-0.343333333333333,1.73538766082202,0.093,0.710057039962284
2.6,-2.025,-0.419,2.199,0.628,-0.541,0.07,-0.122333333333333,2.14289648217858,0.093,0.523878802777894
2.65,-2.513,-0.227,2.635,0.367,0.192,0.052,0.104666666666667,2.57511093612165,0.064,0.297181762562914
2.7,-2.862,0,2.932,0.07,0.925,-0.052,0.331666666666667,2.94221724781385,0.006,0.0612209114600559
2.75,-3.072,0.279,3.072,-0.227,1.623,-0.227,0.541,3.21173270992466,-0.0583333333333333,0.292139236209951
2.8,-3.107,0.576,3.037,-0.524,2.217,-0.454,0.715666666666667,3.33581854022867,-0.134,0.615873363606513
2.85,-2.95,0.89,2.81,-0.803,2.705,-0.733,0.855,3.29564485343916,-0.215333333333333,0.957886388531194
2.9,-2.635,1.187,2.443,-1.047,3.054,-1.03,0.954,3.12314280813414,-0.296666666666667,1.28492113895497
2.95,-2.164,1.466,1.92,-1.257,3.211,-1.326,0.989,2.80583802098411,-0.372333333333333,1.59241713546838
3,-1.571,1.693,1.257,-1.414,3.211,-1.606,0.965666666666667,2.40427480403828,-0.442333333333333,1.85174305272987
3.05,-0.838,1.868,0.489,-1.536,3.002,-1.885,0.884333333333333,1.95028621831087,-0.517666666666667,2.07340404488207
3.1,-0.035,1.955,-0.349,-1.588,2.635,-2.112,0.750333333333333,1.63970281860261,-0.581666666666667,2.21238611759641
3.15,0.82,1.972,-1.204,-1.588,2.094,-2.304,0.57,1.6631524283721,-0.64,2.29021221724101
3.2,1.693,1.885,-2.042,-1.536,1.414,-2.461,0.355,2.08054488055413,-0.704,2.28934422924994
3.25,2.513,1.745,-2.827,-1.414,0.611,-2.548,0.099,2.70656756797239,-0.739,2.22467548195237
3.3,3.264,1.536,-3.491,-1.257,-0.244,-2.583,-0.157,3.37834027297429,-0.768,2.10258911820641
3.35,3.875,1.274,-3.997,-1.03,-1.117,-2.566,-0.413,3.98293961792041,-0.774,1.93275761542931
3.4,4.311,0.977,-4.346,-0.768,-1.99,-2.478,-0.675,4.47580506724768,-0.756333333333333,1.72752954629822
3.45,4.555,0.681,-4.503,-0.489,-2.775,-2.339,-0.907666666666667,4.80905825846738,-0.715666666666667,1.52270592477121
3.5,4.59,0.384,-4.451,-0.175,-3.473,-2.147,-1.11133333333333,4.96165520097208,-0.646,1.32961310162017
3.55,4.433,0.105,-4.189,0.122,-4.014,-1.92,-1.25666666666667,4.92817271748194,-0.564333333333333,1.1740725417679
3.6,4.049,-0.14,-3.752,0.419,-4.398,-1.641,-1.367,4.70150199404403,-0.454,1.06529197875512
3.65,3.491,-0.349,-3.124,0.681,-4.573,-1.344,-1.402,4.29895184899761,-0.337333333333333,1.01255041026772
3.7,2.758,-0.506,-2.356,0.873,-4.555,-1.03,-1.38433333333333,3.75207866832951,-0.221,0.98299084431138
3.75,1.885,-0.628,-1.449,1.012,-4.328,-0.733,-1.29733333333333,3.10927553190986,-0.116333333333333,0.978574643720822
3.8,0.925,-0.681,-0.489,1.065,-3.892,-0.454,-1.152,2.47599454765151,-0.0233333333333334,0.949333625936285
3.85,-0.07,-0.681,0.524,1.03,-3.299,-0.227,-0.948333333333333,2.05728810168467,0.0406666666666667,0.886348877888009
3.9,-1.065,-0.628,1.501,0.925,-2.531,-0.052,-0.698333333333333,2.0408550495646,0.0816666666666667,0.785081099844681
3.95,-2.007,-0.524,2.409,0.733,-1.641,0.052,-0.413,2.45076559466629,0.087,0.62923048241483
4,-2.827,-0.349,3.194,0.489,-0.646,0.07,-0.093,3.04835480218429,0.07,0.419
4.05,-3.526,-0.14,3.822,0.209,0.367,0,0.221,3.67617505023904,0.023,0.175633140380738
4.1,-4.032,0.105,4.259,-0.087,1.361,-0.14,0.529333333333333,4.2076029201118,-0.0406666666666667,0.128904357309337
4.15,-4.328,0.401,4.468,-0.384,2.304,-0.349,0.814666666666667,4.58322913820958,-0.110666666666667,0.443461760846788
4.2,-4.363,0.698,4.451,-0.663,3.107,-0.611,1.065,4.74857578648588,-0.192,0.771201011410125
4.25,-4.189,0.995,4.206,-0.925,3.77,-0.908,1.26233333333333,4.72602373389442,-0.279333333333333,1.10363777270141
4.3,-3.77,1.292,3.752,-1.169,4.224,-1.204,1.402,4.48529642275736,-0.360333333333333,1.43106964656977
4.35,-3.159,1.553,3.072,-1.344,4.468,-1.501,1.46033333333333,4.06089698629913,-0.430666666666667,1.71969832625764
4.4,-2.356,1.763,2.234,-1.484,4.468,-1.78,1.44866666666667,3.47912421930194,-0.500333333333333,1.96568368089409
4.45,-1.396,1.902,1.239,-1.571,4.224,-2.025,1.35566666666667,2.81181584271327,-0.564666666666667,2.14822306414705
4.5,-0.332,1.955,0.14,-1.606,3.752,-2.234,1.18666666666667,2.23414353463096,-0.628333333333333,2.25916009466645
4.55,0.785,1.937,-0.995,-1.571,3.089,-2.409,0.959666666666667,2.04759501204055,-0.681,2.30564611334871
4.6,1.902,1.833,-2.112,-1.466,2.234,-2.513,0.674666666666667,2.41902652596728,-0.715333333333333,2.26816100251577
4.65,2.967,1.658,-3.142,-1.326,1.222,-2.583,0.349,3.14667554730385,-0.750333333333333,2.1783168578821
4.7,3.927,1.431,-4.049,-1.134,0.14,-2.583,0.00599999999999989,3.98968808304609,-0.762,2.03269205734661
4.75,4.712,1.169,-4.782,-0.908,-0.995,-2.513,-0.355,4.77924774415388,-0.750666666666667,1.84603530121537
4.8,5.306,0.873,-5.323,-0.628,-2.112,-2.409,-0.709666666666667,5.45149652236277,-0.721333333333333,1.64298945015887
4.85,5.637,0.576,-5.603,-0.332,-3.142,-2.234,-1.036,5.9085384825691,-0.663333333333333,1.43400185959898
4.9,5.725,0.279,-5.62,-0.035,-4.067,-2.025,-1.32066666666667,6.15093621600268,-0.593666666666667,1.24947402267247
4.95,5.568,0.017,-5.376,0.262,-4.8,-1.763,-1.536,6.15898173402065,-0.494666666666667,1.10521868122708
5,5.149,-0.209,-4.904,0.541,-5.341,-1.484,-1.69866666666667,5.93427723765357,-0.384,1.02377976147216
5.05,4.503,-0.419,-4.189,0.785,-5.62,-1.169,-1.76866666666667,5.4783475915036,-0.267666666666667,0.985751151829575
5.1,3.63,-0.559,-3.281,0.942,-5.655,-0.873,-1.76866666666667,4.82370918830451,-0.163333333333333,0.970036253618046
5.15,2.601,-0.646,-2.199,1.047,-5.428,-0.576,-1.67533333333333,4.0400346945705,-0.0583333333333333,0.957886388531194
5.2,1.449,-0.698,-1.012,1.047,-4.939,-0.332,-1.50066666666667,3.22191438951027,0.00566666666666665,0.920201246105075
5.25,0.244,-0.681,0.244,0.977,-4.241,-0.122,-1.251,2.58941595731547,0.058,0.843528896956115
5.3,-0.96,-0.593,1.484,0.838,-3.316,0.017,-0.930666666666667,2.40013444067897,0.0873333333333333,0.718087970469728
5.35,-2.112,-0.471,2.635,0.611,-2.251,0.07,-0.576,2.78167593367739,0.07,0.541
5.4,-3.159,-0.279,3.665,0.367,-1.065,0.035,-0.186333333333333,3.49582398489016,0.041,0.32304179296184
5.45,-4.049,-0.052,4.503,0.07,0.192,-0.07,0.215333333333333,4.27604774684911,-0.0173333333333333,0.0761664843177978
5.5,-4.73,0.209,5.114,-0.227,1.431,-0.262,0.605,4.97370998350326,-0.0933333333333333,0.262412525107574
5.55,-5.149,0.489,5.463,-0.524,2.583,-0.506,0.965666666666667,5.48775558250669,-0.180333333333333,0.579729534639502
5.6,-5.288,0.785,5.533,-0.803,3.595,-0.785,1.28,5.77000251299772,-0.267666666666667,0.911680499590363
5.65,-5.149,1.082,5.288,-1.047,4.381,-1.082,1.50666666666667,5.78178919827879,-0.349,1.23940590606952
5.7,-4.747,1.361,4.782,-1.257,4.904,-1.379,1.64633333333333,5.5371250964136,-0.425,1.54792377073291
5.75,-4.084,1.623,3.997,-1.414,5.166,-1.658,1.693,5.03705638245196,-0.483,1.82792532670238
