"Time","Angle, Ch 1+2 (rad) Run #16","Angle, Ch 3+4 (rad) Run #16","Angle, Ch 1+2 (rad) Run #17","Angle, Ch 3+4 (rad) Run #17","Angle, Ch 1+2 (rad) Run #18","Angle, Ch 3+4 (rad) Run #18","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
0,-0.052,0.471,-0.122,-0.175,0.209,-0.471,0.0116666666666667,0.174442922852529,-0.0583333333333333,0.48171499180878
0.05,-0.052,0.908,-0.297,-0.209,0.384,-0.96,0.0116666666666667,0.344935259626112,-0.087,0.939956913906164
0.1,-0.017,1.222,-0.489,-0.07,0.506,-1.414,4.62592926927149e-18,0.497717791524474,-0.0873333333333333,1.31808548028318
0.15,0.087,1.344,-0.716,0.192,0.576,-1.745,-0.0176666666666667,0.652328393781333,-0.0696666666666667,1.56103566049381
0.2,0.227,1.239,-0.942,0.593,0.559,-1.955,-0.052,0.788435793200689,-0.041,1.68874983345669
0.25,0.419,0.96,-1.152,1.082,0.471,-2.025,-0.0873333333333333,0.922394890127506,0.00566666666666671,1.75966654038012
0.3,0.628,0.559,-1.326,1.588,0.314,-1.937,-0.128,1.04931024964021,0.07,1.81266295819162
0.35,0.838,0.07,-1.449,2.042,0.105,-1.71,-0.168666666666667,1.16780235199854,0.134,1.87681858473322
0.4,1.03,-0.401,-1.484,2.339,-0.157,-1.344,-0.203666666666667,1.25764952722662,0.198,1.9131709280668
0.45,1.187,-0.803,-1.431,2.461,-0.419,-0.89,-0.221,1.32018332060362,0.256,1.91008141187751
0.5,1.292,-1.117,-1.309,2.339,-0.698,-0.384,-0.238333333333333,1.36006262110733,0.279333333333333,1.8209866373297
0.55,1.309,-1.292,-1.117,2.025,-0.942,0.087,-0.25,1.35296600105102,0.273333333333333,1.66633199973275
0.6,1.257,-1.326,-0.89,1.588,-1.117,0.436,-0.25,1.31002633561314,0.232666666666667,1.46760258017398
0.65,1.152,-1.222,-0.628,1.082,-1.239,0.628,-0.238333333333333,1.24221589642595,0.162666666666667,1.22045292139162
0.7,0.977,-0.96,-0.349,0.611,-1.274,0.593,-0.215333333333333,1.13143728652247,0.0813333333333333,0.901866028483906
0.75,0.768,-0.593,-0.122,0.227,-1.222,0.349,-0.192,0.996845023060255,-0.00566666666666666,0.512290282294456
0.8,0.541,-0.14,0.087,-0.052,-1.117,-0.035,-0.163,0.856805695592647,-0.0756666666666667,0.0563589685261657
0.85,0.297,0.332,0.209,-0.209,-0.96,-0.524,-0.151333333333333,0.701706728864227,-0.133666666666667,0.432943799278074
0.9,0.087,0.803,0.262,-0.192,-0.768,-0.995,-0.139666666666667,0.55114275222789,-0.128,0.900706944571874
0.95,-0.07,1.152,0.244,-0.017,-0.559,-1.431,-0.128333333333333,0.404665705655092,-0.0986666666666667,1.29343509049868
1,-0.175,1.326,0.175,0.297,-0.367,-1.763,-0.122333333333333,0.274811450513499,-0.0466666666666666,1.57291459823264
1.05,-0.209,1.292,0.035,0.716,-0.192,-1.972,-0.122,0.136231420751602,0.012,1.74216417136847
1.1,-0.175,1.065,-0.122,1.204,-0.087,-2.025,-0.128,0.0443057558337514,0.0813333333333333,1.82546167676381
1.15,-0.07,0.681,-0.297,1.71,-0.017,-1.937,-0.128,0.148738024728043,0.151333333333333,1.8803091057944
1.2,0.052,0.227,-0.471,2.129,0,-1.693,-0.139666666666667,0.288118609835139,0.221,1.91100706435115
1.25,0.227,-0.244,-0.611,2.391,-0.035,-1.326,-0.139666666666667,0.428692586048946,0.273666666666667,1.91180708580477
1.3,0.384,-0.681,-0.716,2.443,-0.087,-0.873,-0.139666666666667,0.551887971723731,0.296333333333333,1.86154487814109
1.35,0.541,-1.03,-0.768,2.286,-0.157,-0.367,-0.128,0.654981679133088,0.296333333333333,1.75470006933759
1.4,0.663,-1.257,-0.785,1.937,-0.227,0.105,-0.116333333333333,0.730315913378131,0.261666666666667,1.60275304814352
1.45,0.733,-1.326,-0.75,1.466,-0.262,0.454,-0.093,0.755806192088951,0.198,1.41349495931185
1.5,0.75,-1.274,-0.698,0.977,-0.279,0.628,-0.0756666666666667,0.745106927449566,0.110333333333333,1.21150085981535
1.55,0.716,-1.065,-0.646,0.506,-0.262,0.593,-0.064,0.702256363445715,0.0113333333333333,0.933146469389095
1.6,0.663,-0.733,-0.611,0.14,-0.227,0.332,-0.0583333333333333,0.653532962698389,-0.087,0.567629280428697
1.65,0.576,-0.314,-0.576,-0.105,-0.157,-0.07,-0.0523333333333333,0.583088615335039,-0.163,0.131935590346199
1.7,0.489,0.175,-0.576,-0.209,-0.087,-0.541,-0.058,0.533091924530845,-0.191666666666667,0.358314573152326
