"Time","Angle, Ch 1+2 (rad) Run #1","Angle, Ch 3+4 (rad) Run #1","Angle, Ch 1+2 (rad) Run #2","Angle, Ch 3+4 (rad) Run #2","Angle, Ch 1+2 (rad) Run #3","Angle, Ch 3+4 (rad) Run #3","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
0,-0.035,-0.087,0,0,0,-0.07,-0.0116666666666667,0.0202072594216369,-0.0523333333333333,0.0461121820491433
0.05,-0.07,-0.157,-0.017,0.017,-0.017,-0.157,-0.0346666666666667,0.0305995642670502,-0.099,0.100458946838995
0.1,-0.087,-0.227,-0.017,0.035,-0.035,-0.244,-0.0463333333333333,0.0363501490139082,-0.145333333333333,0.15640439039021
0.15,-0.122,-0.314,-0.017,0.052,-0.052,-0.314,-0.0636666666666667,0.0534633831078181,-0.192,0.211310198523403
0.2,-0.14,-0.384,-0.017,0.087,-0.07,-0.401,-0.0756666666666667,0.0616954887599842,-0.232666666666667,0.276969914130278
0.25,-0.175,-0.454,-0.017,0.122,-0.105,-0.489,-0.099,0.0791707016515579,-0.273666666666667,0.34310396869365
0.3,-0.192,-0.524,-0.017,0.157,-0.14,-0.576,-0.116333333333333,0.0898684223369551,-0.314333333333333,0.409013854696064
0.35,-0.227,-0.593,-0.017,0.192,-0.175,-0.663,-0.139666666666667,0.109367880720682,-0.354666666666667,0.474719215256064
0.4,-0.244,-0.663,0,0.244,-0.209,-0.75,-0.151,0.131935590346199,-0.389666666666667,0.5504928095201
0.45,-0.279,-0.733,0,0.314,-0.262,-0.838,-0.180333333333333,0.15640439039021,-0.419,0.636963892226239
0.5,-0.314,-0.785,0.017,0.367,-0.297,-0.908,-0.198,0.186389377379721,-0.442,0.703308609360073
0.55,-0.332,-0.855,0.035,0.436,-0.349,-0.995,-0.215333333333333,0.216961594143603,-0.471333333333333,0.788885500775197
0.6,-0.367,-0.908,0.052,0.506,-0.384,-1.082,-0.233,0.246963560065043,-0.494666666666667,0.87095885857676
0.65,-0.401,-0.96,0.087,0.576,-0.419,-1.169,-0.244333333333333,0.287084192064512,-0.517666666666667,0.952890514872162
0.7,-0.436,-1.012,0.105,0.663,-0.454,-1.239,-0.261666666666667,0.317670164373889,-0.529333333333333,1.03881005642674
0.75,-0.471,-1.047,0.122,0.75,-0.489,-1.326,-0.279333333333333,0.347681367538344,-0.541,1.12670803671581
0.8,-0.506,-1.1,0.157,0.838,-0.524,-1.396,-0.291,0.388083753847027,-0.552666666666667,1.21341226849465
0.85,-0.541,-1.134,0.192,0.925,-0.541,-1.466,-0.296666666666667,0.423197747315996,-0.558333333333333,1.29528542543076
0.9,-0.576,-1.169,0.209,1.03,-0.576,-1.536,-0.314333333333333,0.453219961313856,-0.558333333333333,1.38772271485817
0.95,-0.611,-1.204,0.227,1.117,-0.593,-1.606,-0.325666666666667,0.478707983360768,-0.564333333333333,1.46988514290516
1,-0.646,-1.222,0.262,1.222,-0.611,-1.658,-0.331666666666667,0.51442816148937,-0.552666666666667,1.5522903508472
1.05,-0.663,-1.239,0.279,1.309,-0.628,-1.728,-0.337333333333333,0.534047126509762,-0.552666666666667,1.63068462105133
1.1,-0.698,-1.257,0.279,1.414,-0.646,-1.78,-0.355,0.54967535873459,-0.541,1.71315527609146
1.15,-0.716,-1.274,0.279,1.518,-0.663,-1.833,-0.366666666666667,0.559791330169853,-0.529666666666667,1.79522264171699
1.2,-0.733,-1.274,0.279,1.623,-0.663,-1.868,-0.372333333333333,0.565156025654273,-0.506333333333333,1.86782074443276
1.25,-0.75,-1.274,0.279,1.71,-0.681,-1.92,-0.384,0.575210396289914,-0.494666666666667,1.93642591733671
1.3,-0.75,-1.274,0.297,1.815,-0.698,-1.955,-0.383666666666667,0.590047738181694,-0.471333333333333,2.00908694021273
1.35,-0.768,-1.274,0.297,1.902,-0.716,-1.99,-0.395666666666667,0.600430123605847,-0.454,2.07152504208856
1.4,-0.768,-1.257,0.314,1.99,-0.733,-2.025,-0.395666666666667,0.614838461169544,-0.430666666666667,2.1312382159987
1.45,-0.768,-1.239,0.332,2.077,-0.75,-2.059,-0.395333333333333,0.629953437432747,-0.407,2.1899296792363
1.5,-0.768,-1.222,0.367,2.164,-0.768,-2.077,-0.389666666666667,0.655292555530225,-0.378333333333333,2.24284425079704
1.55,-0.768,-1.187,0.419,2.234,-0.803,-2.094,-0.384,0.695638555573223,-0.349,2.28245021851518
1.6,-0.768,-1.152,0.471,2.304,-0.82,-2.112,-0.372333333333333,0.730810737012897,-0.32,2.32259165588788
1.65,-0.768,-1.117,0.559,2.374,-0.838,-2.112,-0.349,0.78712959542886,-0.285,2.35588985311283
1.7,-0.75,-1.082,0.628,2.443,-0.873,-2.112,-0.331666666666667,0.833368065942854,-0.250333333333333,2.38867292305442
1.75,-0.75,-1.047,0.733,2.496,-0.89,-2.112,-0.302333333333333,0.899353286163637,-0.221,2.41249310879845
1.8,-0.75,-0.995,0.82,2.531,-0.908,-2.112,-0.279333333333333,0.955322633110581,-0.192,2.42342092918255
1.85,-0.733,-0.942,0.925,2.583,-0.925,-2.094,-0.244333333333333,1.01721253105402,-0.151,2.43676896730076
1.9,-0.733,-0.873,1.012,2.618,-0.942,-2.077,-0.221,1.07291052749053,-0.110666666666667,2.43856932100224
1.95,-0.716,-0.82,1.117,2.635,-0.942,-2.059,-0.180333333333333,1.12919189393713,-0.0813333333333334,2.43261799987859
2,-0.716,-0.75,1.187,2.653,-0.942,-2.025,-0.157,1.1694105352698,-0.0406666666666666,2.41832304155862
2.05,-0.698,-0.681,1.239,2.67,-0.942,-1.99,-0.133666666666667,1.19500808923343,-0.000333333333333371,2.40341014671515
2.1,-0.681,-0.611,1.274,2.67,-0.942,-1.955,-0.116333333333333,1.21111532619042,0.0346666666666666,2.37914277279304
2.15,-0.646,-0.541,1.326,2.653,-0.942,-1.92,-0.0873333333333333,1.2328979411668,0.064,2.34576234942929
2.2,-0.628,-0.454,1.344,2.653,-0.942,-1.868,-0.0753333333333333,1.23916477247109,0.110333333333333,2.31272876345959
2.25,-0.593,-0.367,1.379,2.618,-0.942,-1.815,-0.052,1.25150749098837,0.145333333333333,2.26047259070605
2.3,-0.559,-0.279,1.379,2.601,-0.925,-1.763,-0.035,1.2381583097488,0.186333333333333,2.21890183048582
2.35,-0.524,-0.192,1.379,2.566,-0.925,-1.71,-0.0233333333333334,1.23089574429898,0.221333333333333,2.16775859664616
2.4,-0.471,-0.105,1.379,2.513,-0.908,-1.641,0,1.21407289731713,0.255666666666667,2.10035457324075
2.45,-0.436,-0.017,1.361,2.461,-0.908,-1.571,0.00566666666666665,1.19724363992186,0.291,2.03356927592841
2.5,-0.401,0.07,1.326,2.409,-0.89,-1.501,0.0116666666666667,1.16420974628,0.326,1.96753068591064
2.55,-0.349,0.157,1.292,2.339,-0.873,-1.431,0.0233333333333334,1.12950446361815,0.355,1.89278313601955
2.6,-0.314,0.262,1.239,2.286,-0.838,-1.344,0.029,1.08014767508892,0.401333333333333,1.81900668864447
