"Time","Angle, Ch 1+2 (rad) Run #7","Angle, Ch 3+4 (rad) Run #7","Angle, Ch 1+2 (rad) Run #8","Angle, Ch 3+4 (rad) Run #8","Angle, Ch 1+2 (rad) Run #9","Angle, Ch 3+4 (rad) Run #9","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
0,-0.105,0.035,-0.07,0.035,-0.07,0.087,-0.0816666666666667,0.0202072594216369,0.0523333333333333,0.0300222139978605
0.05,-0.209,0.105,-0.14,0.122,-0.122,0.227,-0.157,0.0459238500128201,0.151333333333333,0.0660782364575004
0.1,-0.297,0.209,-0.192,0.244,-0.157,0.401,-0.215333333333333,0.0728583099813146,0.284666666666667,0.102256214155098
0.15,-0.367,0.367,-0.244,0.384,-0.192,0.593,-0.267666666666667,0.0898684223369551,0.448,0.125861034478507
0.2,-0.436,0.541,-0.262,0.576,-0.192,0.82,-0.296666666666667,0.125639696486952,0.645666666666667,0.151987938117909
0.25,-0.454,0.733,-0.262,0.785,-0.157,1.065,-0.291,0.150608764685194,0.861,0.178572114284398
0.3,-0.454,0.96,-0.244,1.012,-0.105,1.309,-0.267666666666667,0.17569955416373,1.09366666666667,0.188287900124605
0.35,-0.419,1.204,-0.209,1.257,-0.035,1.571,-0.221,0.192281044307545,1.344,0.1983658236693
0.4,-0.349,1.449,-0.157,1.518,0.07,1.815,-0.145333333333333,0.209743494138277,1.594,0.194476219625948
0.45,-0.244,1.693,-0.07,1.763,0.192,2.042,-0.0406666666666667,0.219475131468997,1.83266666666667,0.18463567730353
0.5,-0.122,1.937,0.035,2.007,0.349,2.251,0.0873333333333333,0.239821461369356,2.065,0.164839315698652
0.55,0.052,2.164,0.175,2.217,0.541,2.409,0.256,0.254363912534778,2.26333333333333,0.128904357309337
0.6,0.244,2.356,0.332,2.391,0.75,2.513,0.442,0.270340526003779,2.42,0.0824196578493262
0.65,0.471,2.496,0.506,2.531,0.96,2.566,0.645666666666667,0.272782575201081,2.531,0.0349999999999999
0.7,0.716,2.601,0.698,2.635,1.169,2.566,0.861,0.266887616797783,2.60066666666667,0.03450120770833
0.75,0.96,2.653,0.908,2.67,1.396,2.513,1.088,0.268,2.612,0.0861568337394081
0.8,1.187,2.653,1.1,2.653,1.588,2.409,1.29166666666667,0.260292783867193,2.57166666666667,0.140873465682269
0.85,1.414,2.601,1.274,2.566,1.745,2.251,1.47766666666667,0.241868421529834,2.47266666666667,0.192764969155014
0.9,1.606,2.496,1.414,2.443,1.85,2.059,1.62333333333333,0.218516208399591,2.33266666666667,0.238479209436238
0.95,1.728,2.339,1.536,2.286,1.92,1.85,1.728,0.192,2.15833333333333,0.268336231868403
1,1.815,2.147,1.588,2.077,1.92,1.606,1.77433333333333,0.169694824120635,1.94333333333333,0.294228369355053
1.05,1.833,1.937,1.588,1.868,1.85,1.361,1.757,0.146604911241063,1.722,0.314532987141254
1.1,1.78,1.71,1.553,1.623,1.728,1.117,1.687,0.118924345699272,1.48333333333333,0.320222318605892
1.15,1.676,1.466,1.449,1.379,1.536,0.89,1.55366666666667,0.114526561693492,1.245,0.31050120772712
1.2,1.518,1.222,1.309,1.152,1.309,0.663,1.37866666666667,0.120666206260632,1.01233333333333,0.304549393913916
1.25,1.326,0.995,1.134,0.925,1.012,0.454,1.15733333333333,0.158295083099044,0.791333333333333,0.294228369355053
1.3,1.082,0.768,0.96,0.698,0.698,0.279,0.913333333333333,0.196207373289929,0.581666666666667,0.264443440707712
1.35,0.82,0.576,0.75,0.506,0.332,0.14,0.634,0.263871180692398,0.407333333333333,0.23414810128065
1.4,0.524,0.401,0.506,0.349,-0.035,0.017,0.331666666666667,0.317670164373889,0.255666666666667,0.20832026625687
1.45,0.209,0.244,0.244,0.209,-0.401,-0.052,0.0173333333333333,0.362709709455555,0.133666666666667,0.161741563406978
1.5,-0.122,0.122,-0.035,0.105,-0.75,-0.087,-0.302333333333333,0.390123484724175,0.0466666666666667,0.116070380947653
1.55,-0.454,0.052,-0.314,0.035,-1.065,-0.087,-0.611,0.399358235172383,2.31296463463574e-18,0.0758221603490695
1.6,-0.785,0,-0.593,0,-1.326,-0.052,-0.901333333333333,0.380095163522681,-0.0173333333333333,0.0300222139978605
1.65,-1.065,0,-0.855,0,-1.536,0.035,-1.152,0.3487362900531,0.0116666666666667,0.0202072594216369
1.7,-1.309,0.035,-1.082,0.035,-1.658,0.14,-1.34966666666667,0.290145365865687,0.07,0.0606217782649107
1.75,-1.501,0.087,-1.257,0.122,-1.693,0.297,-1.48366666666667,0.218516208399591,0.168666666666667,0.112509258878251
1.8,-1.623,0.192,-1.396,0.244,-1.658,0.471,-1.559,0.142242750254626,0.302333333333333,0.14836553957484
1.85,-1.658,0.332,-1.449,0.384,-1.518,0.681,-1.54166666666667,0.106491001184764,0.465666666666667,0.188287900124605
1.9,-1.606,0.506,-1.449,0.559,-1.309,0.925,-1.45466666666667,0.148581066537205,0.663333333333333,0.2281541876305
1.95,-1.484,0.716,-1.379,0.768,-1.012,1.169,-1.29166666666667,0.247823189660155,0.884333333333333,0.24789581144774
2,-1.292,0.942,-1.239,0.995,-0.663,1.414,-1.06466666666667,0.348861481584501,1.117,0.258571073401492
2.05,-1.047,1.187,-1.03,1.239,-0.262,1.676,-0.779666666666667,0.448393056740772,1.36733333333333,0.268574632706317
2.1,-0.716,1.431,-0.768,1.484,0.192,1.902,-0.430666666666667,0.539871589670482,1.60566666666667,0.257996770005621
2.15,-0.349,1.676,-0.454,1.728,0.663,2.129,-0.0466666666666667,0.616827636648467,1.84433333333333,0.24789581144774
2.2,0.052,1.92,-0.087,1.972,1.134,2.304,0.366333333333333,0.66844172022199,2.06533333333333,0.20832026625687
2.25,0.471,2.147,0.297,2.182,1.606,2.443,0.791333333333333,0.710865903904058,2.25733333333333,0.161741563406978
2.3,0.908,2.339,0.698,2.374,2.025,2.548,1.21033333333333,0.713292600083117,2.42033333333333,0.111938971468088
2.35,1.344,2.496,1.117,2.513,2.409,2.583,1.62333333333333,0.689808910737846,2.53066666666667,0.0461121820491434
2.4,1.745,2.601,1.501,2.618,2.723,2.566,1.98966666666667,0.646697250135899,2.595,0.0265141471671257
2.45,2.112,2.653,1.868,2.67,2.932,2.478,2.304,0.557379583407932,2.60033333333333,0.106284210178809
2.5,2.409,2.67,2.182,2.653,3.037,2.356,2.54266666666667,0.442895397733295,2.55966666666667,0.176585201342959
2.55,2.635,2.618,2.443,2.601,3.037,2.199,2.705,0.303123737110771,2.47266666666667,0.237154661209375
2.6,2.775,2.513,2.618,2.496,2.932,1.99,2.775,0.157,2.333,0.297168302481944
2.65,2.81,2.374,2.688,2.339,2.705,1.78,2.73433333333333,0.0660782364575003,2.16433333333333,0.333302165209489
2.7,2.74,2.199,2.67,2.147,2.409,1.536,2.60633333333333,0.174442922852529,1.96066666666667,0.368690023371034
2.75,2.583,1.99,2.548,1.937,2.007,1.292,2.37933333333333,0.32292465581515,1.73966666666667,0.388595333648428
2.8,2.321,1.763,2.339,1.71,1.553,1.047,2.071,0.448691430718261,1.50666666666667,0.398964075241535
2.85,1.99,1.518,2.042,1.466,1.047,0.82,1.693,0.560056247175228,1.268,0.388849585315453
2.9,1.588,1.292,1.676,1.222,0.489,0.611,1.251,0.661376594687172,1.04166666666667,0.374606905079623
2.95,1.117,1.065,1.239,0.995,-0.052,0.401,0.768,0.712755918951221,0.820333333333333,0.364836036231803
3,0.611,0.838,0.75,0.768,-0.611,0.244,0.25,0.748879830146333,0.616666666666667,0.324631072655304
3.05,0.105,0.646,0.244,0.576,-1.117,0.105,-0.256,0.748879830146333,0.442333333333333,0.294228369355053
3.1,-0.419,0.454,-0.279,0.401,-1.571,0,-0.756333333333333,0.70898613056486,0.285,0.248235775020443
3.15,-0.925,0.297,-0.785,0.244,-1.937,-0.07,-1.21566666666667,0.628602683205642,0.157,0.1983658236693
3.2,-1.379,0.175,-1.257,0.14,-2.217,-0.087,-1.61766666666667,0.522610115988328,0.076,0.142242750254626
3.25,-1.763,0.07,-1.676,0.052,-2.391,-0.087,-1.94333333333333,0.390123484724175,0.0116666666666667,0.0859205058954691
3.3,-2.077,0.017,-2.007,0,-2.443,-0.035,-2.17566666666667,0.23414810128065,-0.006,0.0265141471671257
3.35,-2.269,0,-2.269,-0.017,-2.374,0.052,-2.304,0.0606217782649107,0.0116666666666667,0.0359490380028914
3.4,-2.374,0,-2.409,0.017,-2.199,0.175,-2.32733333333333,0.112509258878251,0.064,0.0965038859321219
3.45,-2.374,0.052,-2.426,0.087,-1.937,0.314,-2.24566666666667,0.268574632706317,0.151,0.142242750254626
3.5,-2.251,0.122,-2.339,0.192,-1.571,0.506,-2.05366666666667,0.420310995970048,0.273333333333333,0.204512428310197
3.55,-2.042,0.244,-2.164,0.314,-1.152,0.716,-1.786,0.552438231841353,0.424666666666667,0.254718144884367
3.6,-1.745,0.384,-1.885,0.489,-0.646,0.942,-1.42533333333333,0.67854280140116,0.605,0.296534989503768
3.65,-1.361,0.559,-1.518,0.681,-0.122,1.204,-1.00033333333333,0.764698851400558,0.814666666666667,0.342646075905348
3.7,-0.942,0.768,-1.1,0.89,0.436,1.449,-0.535333333333333,0.844900783129791,1.03566666666667,0.363117520003281
3.75,-0.471,0.977,-0.611,1.134,0.995,1.693,-0.029,0.889568434691789,1.268,0.376338942975611
3.8,0.035,1.222,-0.105,1.379,1.536,1.937,0.488666666666667,0.909714424054787,1.51266666666667,0.375774311699634
3.85,0.541,1.449,0.436,1.623,2.025,2.147,1.00066666666667,0.8886508500718,1.73966666666667,0.363330886841916
3.9,1.03,1.693,0.96,1.868,2.461,2.321,1.48366666666667,0.847118842508732,1.96066666666667,0.324093093621776
3.95,1.501,1.937,1.466,2.094,2.81,2.461,1.92566666666667,0.766055045889872,2.164,0.268921921754252
4,1.92,2.147,1.937,2.304,3.072,2.548,2.30966666666667,0.660254748815435,2.333,0.202066820631196
4.05,2.269,2.339,2.339,2.461,3.229,2.583,2.61233333333333,0.535194668633137,2.461,0.122
4.1,2.548,2.496,2.653,2.583,3.281,2.566,2.82733333333333,0.39637902736312,2.54833333333333,0.0461121820491433
4.15,2.74,2.601,2.897,2.653,3.194,2.478,2.94366666666667,0.230569584579869,2.57733333333333,0.089868422336955
4.2,2.827,2.653,3.019,2.67,3.019,2.356,2.955,0.110851251684408,2.55966666666667,0.176585201342959
4.25,2.827,2.67,3.019,2.635,2.74,2.199,2.862,0.142755034937476,2.50133333333333,0.262412525107574
4.3,2.723,2.618,2.915,2.548,2.374,1.99,2.67066666666667,0.274270547695762,2.38533333333333,0.344153066720803
4.35,2.548,2.531,2.705,2.409,1.937,1.78,2.39666666666667,0.40574910145721,2.24,0.403014888062463
4.4,2.286,2.409,2.409,2.234,1.449,1.536,2.048,0.522382044101824,2.05966666666667,0.461872637567255
4.45,1.955,2.234,2.042,2.042,0.925,1.292,1.64066666666667,0.621310174818772,1.856,0.497783085289165
4.5,1.588,2.042,1.606,1.815,0.401,1.047,1.19833333333333,0.690569571682197,1.63466666666667,0.52143679706493
4.55,1.169,1.815,1.134,1.588,-0.14,0.82,0.721,0.745853202714851,1.40766666666667,0.52143679706493
4.6,0.733,1.588,0.628,1.344,-0.646,0.611,0.238333333333333,0.767652482138457,1.181,0.50848697131785
