"time","mean_Ch1_Ch2_Trial_1_modified","mean_Ch3_Ch4_Trial_1_modified","mean_Ch1_Ch2_Trial_2_modified","mean_Ch3_Ch4_Trial_2_modified","mean_Ch1_Ch2_Trial_3_modified","mean_Ch3_Ch4_Trial_3_modified","mean_Ch1_Ch2_Trial_4_modified","mean_Ch3_Ch4_Trial_4_modified","mean_Ch1_Ch2_Trial_5_modified","mean_Ch3_Ch4_Trial_5_modified","mean_Ch1_Ch2_Trial_6_modified","mean_Ch3_Ch4_Trial_6_modified","mean_Ch1_Ch2_Trial_7_modified","mean_Ch3_Ch4_Trial_7_modified","mean_Ch1_Ch2_Trial_8_modified","mean_Ch3_Ch4_Trial_8_modified","mean_Ch1_Ch2_Trial_9_modified","mean_Ch3_Ch4_Trial_9_modified","mean_Ch1_Ch2_Trial_10_modified","mean_Ch3_Ch4_Trial_10_modified"
13.65,NA,NA,NA,NA,NA,NA,NA,NA,0.814666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0756666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03566666666667,NA
14.1,NA,NA,NA,NA,NA,NA,NA,0.645666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.808666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.535,NA,NA,NA,0.512,NA,NA,NA,NA
14.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.977333333333333,NA,NA,NA,NA,NA,NA
14.5,NA,NA,NA,NA,NA,NA,2.05966666666667,NA,NA,NA,NA,NA,NA,0.977333333333333,NA,NA,NA,NA,NA,NA
14.55,NA,NA,NA,NA,1.78633333333333,2.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.65,NA,NA,NA,NA,NA,NA,NA,NA,1.053,NA,NA,NA,NA,NA,NA,NA,0.157333333333333,NA,NA,NA
14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0233333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.775,NA,NA,NA,NA,NA,NA,NA
14.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54166666666667,NA,NA,NA,NA,NA
14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
