"Time","Angle, Ch 1+2 (rad) Run #25","Angle, Ch 3+4 (rad) Run #25","Angle, Ch 1+2 (rad) Run #26","Angle, Ch 3+4 (rad) Run #26","Angle, Ch 1+2 (rad) Run #27","Angle, Ch 3+4 (rad) Run #27","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
0,-0.14,-0.192,0,-0.244,0.035,0.279,-0.035,0.0926012958872607,-0.0523333333333333,0.288118609835139
0.05,-0.297,-0.349,0,-0.506,0.105,0.559,-0.064,0.208501798553394,-0.0986666666666666,0.574940286754488
0.1,-0.489,-0.471,-0.035,-0.768,0.175,0.838,-0.116333333333333,0.33938964824127,-0.133666666666667,0.854490686510586
0.15,-0.698,-0.541,-0.07,-1.047,0.279,1.1,-0.163,0.495094940390225,-0.162666666666667,1.12238778206702
0.2,-0.908,-0.559,-0.14,-1.292,0.384,1.326,-0.221333333333333,0.64982869537543,-0.175,1.35058246693788
0.25,-1.117,-0.541,-0.227,-1.536,0.506,1.501,-0.279333333333333,0.812764623573968,-0.192,1.54828711807597
0.3,-1.326,-0.454,-0.332,-1.745,0.663,1.623,-0.331666666666667,0.9945000418971,-0.192,1.69921717270042
0.35,-1.501,-0.332,-0.454,-1.92,0.82,1.693,-0.378333333333333,1.16234862813759,-0.186333333333333,1.81089931617783
0.4,-1.641,-0.175,-0.593,-2.042,0.977,1.676,-0.419,1.31764486869566,-0.180333333333333,1.85900573784304
0.45,-1.71,0.035,-0.75,-2.147,1.152,1.606,-0.436,1.45660838937581,-0.168666666666667,1.88477116206009
0.5,-1.745,0.262,-0.908,-2.182,1.309,1.466,-0.448,1.57810931180321,-0.151333333333333,1.85879243955137
0.55,-1.693,0.541,-1.082,-2.182,1.449,1.292,-0.442,1.66590545950243,-0.116333333333333,1.8279043556306
0.6,-1.606,0.82,-1.239,-2.129,1.571,1.047,-0.424666666666667,1.73801217870685,-0.0873333333333334,1.77177434605351
0.65,-1.449,1.1,-1.396,-2.025,1.658,0.803,-0.395666666666667,1.77872491783674,-0.0406666666666666,1.7248873393162
0.7,-1.239,1.361,-1.518,-1.885,1.676,0.541,-0.360333333333333,1.76902524949005,0.00566666666666667,1.68791745453779
0.75,-0.96,1.623,-1.606,-1.693,1.658,0.262,-0.302666666666667,1.72843551610505,0.064,1.66684342396039
0.8,-0.663,1.833,-1.641,-1.466,1.571,0,-0.244333333333333,1.64641954960858,0.122333333333333,1.65289876681342
0.85,-0.314,1.99,-1.641,-1.222,1.449,-0.244,-0.168666666666667,1.55011816753863,0.174666666666667,1.64641954960858
0.9,0.052,2.077,-1.571,-0.96,1.257,-0.454,-0.0873333333333333,1.4191392931398,0.221,1.62713275426438
0.95,0.419,2.112,-1.449,-0.663,1.03,-0.646,-1.84675770046698e-17,1.29152274467003,0.267666666666667,1.59726213669934
1,0.768,2.059,-1.292,-0.384,0.75,-0.785,0.0753333333333333,1.1841796034949,0.296666666666667,1.53933892737543
1.05,1.1,1.955,-1.082,-0.14,0.454,-0.89,0.157333333333333,1.1208431350253,0.308333333333333,1.4745366503866
1.1,1.379,1.798,-0.82,0.105,0.122,-0.942,0.227,1.10325382392267,0.320333333333333,1.38263383921172
1.15,1.606,1.571,-0.524,0.279,-0.192,-0.96,0.296666666666667,1.1460023269319,0.296666666666667,1.26559248312138
1.2,1.745,1.326,-0.209,0.419,-0.524,-0.925,0.337333333333333,1.22920719707189,0.273333333333333,1.13254771790567
1.25,1.78,1.065,0.122,0.471,-0.803,-0.838,0.366333333333333,1.30871934857453,0.232666666666667,0.973629464084429
1.3,1.728,0.785,0.454,0.471,-1.047,-0.716,0.378333333333333,1.38904655549529,0.18,0.791682385808855
1.35,1.571,0.506,0.768,0.401,-1.257,-0.559,0.360666666666667,1.45733878468026,0.116,0.586919926395416
1.4,1.326,0.262,1.065,0.279,-1.361,-0.349,0.343333333333333,1.48175380321204,0.064,0.357769478854751
1.45,0.995,0.017,1.292,0.087,-1.396,-0.122,0.297,1.47368212311882,-0.006,0.106381389349829
1.5,0.593,-0.175,1.466,-0.14,-1.344,0.14,0.238333333333333,1.43818160652031,-0.0583333333333333,0.172650900181069
1.55,0.122,-0.332,1.553,-0.384,-1.204,0.419,0.157,1.37883320238526,-0.099,0.44935398073234
1.6,-0.384,-0.454,1.536,-0.646,-0.977,0.698,0.0583333333333333,1.31359671639866,-0.134,0.726900268262435
1.65,-0.925,-0.541,1.449,-0.908,-0.681,0.96,-0.0523333333333333,1.30590402914354,-0.163,0.989706522156947
1.7,-1.449,-0.559,1.257,-1.169,-0.332,1.204,-0.174666666666667,1.35984349589698,-0.174666666666667,1.23230123481774
1.75,-1.955,-0.541,0.995,-1.414,0.087,1.414,-0.291,1.51088980405587,-0.180333333333333,1.44808712905451
1.8,-2.391,-0.471,0.646,-1.641,0.559,1.571,-0.395333333333333,1.72884537577348,-0.180333333333333,1.62560798882551
1.85,-2.758,-0.367,0.244,-1.833,1.03,1.676,-0.494666666666667,1.99911413714508,-0.174666666666667,1.76238881445989
1.9,-3.002,-0.209,-0.209,-1.972,1.518,1.71,-0.564333333333333,2.28085429901459,-0.157,1.84155070524816
1.95,-3.159,0,-0.698,-2.094,1.972,1.676,-0.628333333333333,2.56620933154981,-0.139333333333333,1.88885820890117
2,-3.159,0.227,-1.187,-2.164,2.391,1.571,-0.651666666666667,2.81346073961115,-0.122,1.89179993656835
2.05,-3.054,0.489,-1.676,-2.182,2.74,1.414,-0.663333333333333,3.02683487050968,-0.093,1.86731009743963
2.1,-2.81,0.75,-2.112,-2.164,3.002,1.204,-0.64,3.17331435568555,-0.0700000000000001,1.82760936745247
2.15,-2.461,1.03,-2.496,-2.094,3.159,0.96,-0.599333333333333,3.25485918794244,-0.0346666666666666,1.78377838683322
2.2,-2.007,1.309,-2.793,-1.99,3.194,0.716,-0.535333333333333,3.25352029858941,0.0116666666666666,1.75866834091404
2.25,-1.466,1.553,-3.002,-1.833,3.089,0.436,-0.459666666666667,3.16774372911278,0.052,1.72535242776657
