"Time","Angle, Ch 1+2 (rad) Run #19","Angle, Ch 3+4 (rad) Run #19","Angle, Ch 1+2 (rad) Run #20","Angle, Ch 3+4 (rad) Run #20","Angle, Ch 1+2 (rad) Run #21","Angle, Ch 3+4 (rad) Run #21","mean_Ch1_Ch2","sd_Ch1_Ch2","mean_Ch3_Ch4","sd_Ch3_Ch4"
0,0.052,0.297,-0.244,0,0,0.279,-0.064,0.158037970121107,0.192,0.166520269036535
0.05,0.14,0.611,-0.541,0.052,0.017,0.559,-0.128,0.362917345961859,0.407333333333333,0.308824113911678
0.1,0.244,0.873,-0.873,0.157,0.052,0.873,-0.192333333333333,0.597240599200467,0.634333333333333,0.413382792739772
0.15,0.367,1.117,-1.204,0.314,0.122,1.169,-0.238333333333333,0.845216145925605,0.866666666666667,0.479329044950682
0.2,0.524,1.274,-1.536,0.524,0.227,1.449,-0.261666666666667,1.11355122618285,1.08233333333333,0.491384099593519
0.25,0.681,1.361,-1.85,0.768,0.349,1.693,-0.273333333333333,1.37548694407956,1.274,0.468596841645353
0.3,0.873,1.361,-2.094,1.047,0.506,1.868,-0.238333333333333,1.6174969345669,1.42533333333333,0.414263603679268
0.35,1.047,1.274,-2.286,1.361,0.681,1.99,-0.186,1.82783724658406,1.54166666666667,0.390697239986839
0.4,1.239,1.117,-2.374,1.658,0.855,2.025,-0.0933333333333333,1.98442544161612,1.6,0.456770182914778
0.45,1.396,0.89,-2.391,1.955,1.065,1.972,0.0233333333333333,2.09741372488437,1.60566666666667,0.619843797527517
0.5,1.536,0.628,-2.286,2.217,1.274,1.85,0.174666666666667,2.13502256038041,1.565,0.831954926663699
0.55,1.641,0.332,-2.094,2.426,1.466,1.658,0.337666666666667,2.10770214530738,1.472,1.05931864894374
0.6,1.676,0.035,-1.815,2.583,1.623,1.414,0.494666666666667,2.00040554221721,1.344,1.27544149219006
0.65,1.641,-0.262,-1.466,2.653,1.745,1.134,0.64,1.82459063902016,1.175,1.45793244013569
0.7,1.553,-0.541,-1.047,2.635,1.798,0.838,0.768,1.57660235950604,0.977333333333333,1.59257788925168
0.75,1.396,-0.785,-0.576,2.548,1.798,0.541,0.872666666666667,1.27058149417239,0.768,1.67805512424354
0.8,1.187,-0.995,-0.087,2.391,1.728,0.262,0.942666666666667,0.931842440186823,0.552666666666667,1.71161161871884
0.85,0.925,-1.152,0.384,2.164,1.588,0,0.965666666666667,0.603029297242956,0.337333333333333,1.68354071329841
0.9,0.611,-1.257,0.82,1.902,1.379,-0.227,0.936666666666667,0.397069683221136,0.139333333333333,1.61104634735731
0.95,0.279,-1.292,1.187,1.623,1.117,-0.401,0.861,0.505240536774317,-0.0233333333333334,1.49374707810035
1,-0.07,-1.274,1.449,1.326,0.803,-0.541,0.727333333333333,0.762321673136304,-0.163,1.34058308209525
1.05,-0.401,-1.204,1.588,1.03,0.454,-0.628,0.547,0.997755982192039,-0.267333333333333,1.15984884072595
1.1,-0.733,-1.082,1.606,0.768,0.087,-0.646,0.32,1.18678009757495,-0.32,0.967125638167038
1.15,-1.012,-0.89,1.466,0.524,-0.279,-0.628,0.0583333333333333,1.2729753859888,-0.331333333333333,0.752234892392884
