"mean_Ch1_Ch2_Trial_1","mean_Ch3_Ch4_Trial_1","sd_Ch1_Ch2_Trial_1","sd_Ch3_Ch4_Trial_1","mean_Ch1_Ch2_Trial_2","mean_Ch3_Ch4_Trial_2","sd_Ch1_Ch2_Trial_2","sd_Ch3_Ch4_Trial_2","mean_Ch1_Ch2_Trial_3","mean_Ch3_Ch4_Trial_3","sd_Ch1_Ch2_Trial_3","sd_Ch3_Ch4_Trial_3","mean_Ch1_Ch2_Trial_4","mean_Ch3_Ch4_Trial_4","sd_Ch1_Ch2_Trial_4","sd_Ch3_Ch4_Trial_4","mean_Ch1_Ch2_Trial_5","mean_Ch3_Ch4_Trial_5","sd_Ch1_Ch2_Trial_5","sd_Ch3_Ch4_Trial_5","mean_Ch1_Ch2_Trial_6","mean_Ch3_Ch4_Trial_6","sd_Ch1_Ch2_Trial_6","sd_Ch3_Ch4_Trial_6","mean_Ch1_Ch2_Trial_7","mean_Ch3_Ch4_Trial_7","sd_Ch1_Ch2_Trial_7","sd_Ch3_Ch4_Trial_7","mean_Ch1_Ch2_Trial_8","mean_Ch3_Ch4_Trial_8","sd_Ch1_Ch2_Trial_8","sd_Ch3_Ch4_Trial_8","mean_Ch1_Ch2_Trial_9","mean_Ch3_Ch4_Trial_9","sd_Ch1_Ch2_Trial_9","sd_Ch3_Ch4_Trial_9","mean_Ch1_Ch2_Trial_10","mean_Ch3_Ch4_Trial_10","sd_Ch1_Ch2_Trial_10","sd_Ch3_Ch4_Trial_10","time"
-0.0116666666666667,-0.0523333333333333,0.0202072594216369,0.0461121820491433,0.0116666666666667,0.0466666666666667,0.0359490380028914,0.152552723126575,-0.0816666666666667,0.0523333333333333,0.0202072594216369,0.0300222139978605,0.041,0.25,0.1162454300177,0.0443057558337514,0.0293333333333333,0.337666666666667,0.131058511106045,0.0269505720409295,0.0116666666666667,-0.0583333333333333,0.174442922852529,0.48171499180878,-0.064,0.192,0.158037970121107,0.166520269036535,0.0176666666666667,0.064,0.122214292672066,0.295425117415564,-0.035,-0.0523333333333333,0.0926012958872607,0.288118609835139,0.0233333333333333,-0.0583333333333333,0.0728583099813147,0.300408610617827,0
-0.0346666666666667,-0.099,0.0305995642670502,0.100458946838995,0.0353333333333333,0.093,0.0906439922627713,0.317302694599337,-0.157,0.151333333333333,0.0459238500128201,0.0660782364575004,0.104666666666667,0.488666666666667,0.239821461369356,0.138146057972471,0.093,0.610666666666667,0.246963560065043,0.151987938117909,0.0116666666666667,-0.087,0.344935259626112,0.939956913906164,-0.128,0.407333333333333,0.362917345961859,0.308824113911678,0.035,0.133666666666667,0.228383449487917,0.61400434308996,-0.064,-0.0986666666666666,0.208501798553394,0.574940286754488,0.0523333333333333,-0.128,0.159954160100115,0.617193648703549,0.05
-0.0463333333333333,-0.145333333333333,0.0363501490139082,0.15640439039021,0.0583333333333333,0.134,0.146346620505338,0.492177813396744,-0.215333333333333,0.284666666666667,0.0728583099813146,0.102256214155098,0.197666666666667,0.686666666666667,0.35603698309773,0.292951076689152,0.197666666666667,0.779666666666667,0.367882227531221,0.370049095841799,4.62592926927149e-18,-0.0873333333333333,0.497717791524474,1.31808548028318,-0.192333333333333,0.634333333333333,0.597240599200467,0.413382792739772,0.07,0.203666666666667,0.332553755053224,0.941578107930156,-0.116333333333333,-0.133666666666667,0.33938964824127,0.854490686510586,0.0816666666666667,-0.203666666666667,0.244708670327255,0.952890514872162,0.1
-0.0636666666666667,-0.192,0.0534633831078181,0.211310198523403,0.0813333333333333,0.186,0.204512428310197,0.672788228196659,-0.267666666666667,0.448,0.0898684223369551,0.125861034478507,0.314333333333333,0.843666666666667,0.462960401474395,0.481354685583649,0.331666666666667,0.831666666666667,0.468317556080629,0.657104507162547,-0.0176666666666667,-0.0696666666666667,0.652328393781333,1.56103566049381,-0.238333333333333,0.866666666666667,0.845216145925605,0.479329044950682,0.104666666666667,0.262,0.426380502993903,1.25732374510307,-0.163,-0.162666666666667,0.495094940390225,1.12238778206702,0.0986666666666667,-0.285,0.335327203389963,1.27723490400161,0.15
-0.0756666666666667,-0.232666666666667,0.0616954887599842,0.276969914130278,0.110333333333333,0.233,0.290472603412668,0.864157971669532,-0.296666666666667,0.645666666666667,0.125639696486952,0.151987938117909,0.436666666666667,0.942333333333333,0.54293676734343,0.725737096566886,0.500333333333333,0.756333333333333,0.539023499796932,0.965926670784762,-0.052,-0.041,0.788435793200689,1.68874983345669,-0.261666666666667,1.08233333333333,1.11355122618285,0.491384099593519,0.151333333333333,0.291,0.500855601279783,1.55231214644478,-0.221333333333333,-0.175,0.64982869537543,1.35058246693788,0.105,-0.355,0.448601159160339,1.57725489379491,0.2
-0.099,-0.273666666666667,0.0791707016515579,0.34310396869365,0.145333333333333,0.279,0.375795600470965,1.03739433196832,-0.291,0.861,0.150608764685194,0.178572114284398,0.582,0.977333333333333,0.596399195170483,0.982621154531762,0.680666666666667,0.576333333333333,0.58954332608667,1.25824971024568,-0.0873333333333333,0.00566666666666671,0.922394890127506,1.75966654038012,-0.273333333333333,1.274,1.37548694407956,0.468596841645353,0.203333333333333,0.302666666666667,0.558875955229184,1.81383277435747,-0.279333333333333,-0.192,0.812764623573968,1.54828711807597,0.099,-0.430666666666667,0.55536024344564,1.83966364679344,0.25
-0.116333333333333,-0.314333333333333,0.0898684223369551,0.409013854696064,0.186333333333333,0.32,0.476237685755058,1.2194146136569,-0.267666666666667,1.09366666666667,0.17569955416373,0.188287900124605,0.727333333333333,0.948333333333333,0.615565052072755,1.22854154725566,0.866666666666667,0.302333333333333,0.584278472419901,1.47940269478372,-0.128,0.07,1.04931024964021,1.81266295819162,-0.238333333333333,1.42533333333333,1.6174969345669,0.414263603679268,0.261666666666667,0.297,0.628396636952596,2.03193700689761,-0.331666666666667,-0.192,0.9945000418971,1.69921717270042,0.0873333333333334,-0.5,0.699219803304607,2.05492797927324,0.3
-0.139666666666667,-0.354666666666667,0.109367880720682,0.474719215256064,0.221,0.360666666666667,0.569702553970052,1.40367030791897,-0.221,1.344,0.192281044307545,0.1983658236693,0.872666666666667,0.843333333333333,0.583141778072308,1.45950345437527,1.03566666666667,-0.035,0.534048999000404,1.62058137716068,-0.168666666666667,0.134,1.16780235199854,1.87681858473322,-0.186,1.54166666666667,1.82783724658406,0.390697239986839,0.314,0.273333333333333,0.716600307005237,2.21242340733715,-0.378333333333333,-0.186333333333333,1.16234862813759,1.81089931617783,0.0523333333333333,-0.57,0.842546338982808,2.19841329144454,0.35
-0.151,-0.389666666666667,0.131935590346199,0.5504928095201,0.262,0.395666666666667,0.681174720611386,1.56782088687877,-0.145333333333333,1.594,0.209743494138277,0.194476219625948,1.00066666666667,0.686666666666667,0.506258168658377,1.64919566253775,1.18133333333333,-0.39,0.433654624480511,1.67072529160242,-0.203666666666667,0.198,1.25764952722662,1.9131709280668,-0.0933333333333333,1.6,1.98442544161612,0.456770182914778,0.372333333333333,0.221,0.830521723577014,2.34160735393447,-0.419,-0.180333333333333,1.31764486869566,1.85900573784304,0.0116666666666667,-0.628333333333333,1.00500414592843,2.27755138983368,0.4
-0.180333333333333,-0.419,0.15640439039021,0.636963892226239,0.291,0.418666666666667,0.794017002336852,1.72319074200546,-0.0406666666666667,1.83266666666667,0.219475131468997,0.18463567730353,1.10533333333333,0.483,0.386652729633884,1.77167801815115,1.27966666666667,-0.727333333333333,0.292951076689152,1.64460218087334,-0.221,0.256,1.32018332060362,1.91008141187751,0.0233333333333333,1.60566666666667,2.09741372488437,0.619843797527517,0.413333333333333,0.151333333333333,0.968290417867147,2.41457580815623,-0.436,-0.168666666666667,1.45660838937581,1.88477116206009,-0.0350000000000001,-0.686333333333333,1.18688710499356,2.27264874834043,0.45
