"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
0,550;-0,314;0,000;-0,006;0,006;0,550;0,017;0,000;-0,006;0,006;0,550;0,052;0,000;-0,006;0,006;0,550;0,000;0,000;-0,006;0,006;0,550;0,000;0,000;-0,006;0,006;0,550;-0,454;0,000;-0,006;0,006;0,550;-1,082;0,000;-0,006;0,006;0,550;0,000;0,000;-0,006;0,006;0,550;-0,314;0,000;-0,006;0,006;0,550;0,000;0,000;-0,006;0,006
0,600;-0,471;0,000;-0,005;0,006;0,600;0,017;0,000;-0,006;0,006;0,600;0,052;0,000;-0,006;0,006;0,600;0,000;0,000;-0,006;0,006;0,600;-0,017;0,000;-0,006;0,006;0,600;-1,309;0,000;-0,006;0,006;0,600;-2,269;-0,017;-0,006;0,006;0,600;0,000;0,000;-0,006;0,006;0,600;-1,169;0,000;-0,006;0,006;0,600;0,000;-0,017;-0,006;0,006
0,650;-0,646;0,000;-0,005;0,006;0,650;0,017;0,000;-0,006;0,006;0,650;0,052;0,000;-0,006;0,006;0,650;0,017;0,000;-0,006;0,006;0,650;-0,017;0,000;-0,006;0,006;0,650;-2,618;-0,017;-0,006;0,006;0,650;-3,421;-0,017;-0,006;0,006;0,650;-0,035;0,000;-0,006;0,006;0,650;-2,251;-0,017;-0,006;0,006;0,650;0,000;0,000;-0,006;0,006
0,700;-0,820;0,000;-0,006;0,006;0,700;0,017;0,000;-0,006;0,006;0,700;0,052;0,000;-0,006;0,006;0,700;0,017;0,000;-0,006;0,006;0,700;0,017;0,000;-0,006;0,006;0,700;-3,857;-0,017;-0,006;0,006;0,700;-4,398;-0,017;-0,006;0,006;0,700;-0,297;0,000;-0,006;0,006;0,700;-3,211;-0,017;-0,006;0,006;0,700;0,000;0,000;-0,006;0,006
0,750;-0,977;0,000;-0,006;0,006;0,750;0,017;0,000;-0,006;0,006;0,750;0,052;0,000;-0,006;0,006;0,750;0,017;0,000;-0,006;0,006;0,750;0,017;0,000;-0,006;0,006;0,750;-4,904;-0,017;-0,006;0,006;0,750;-5,149;-0,017;-0,006;0,006;0,750;-0,960;0,000;-0,006;0,006;0,750;-3,997;-0,017;-0,006;0,006;0,750;0,000;-0,017;-0,006;0,006
0,800;-1,152;0,000;-0,005;0,006;0,800;0,000;0,000;-0,006;0,006;0,800;0,052;0,000;-0,006;0,006;0,800;0,017;0,000;-0,006;0,006;0,800;0,017;0,000;-0,006;0,006;0,800;-5,707;-0,017;-0,006;0,006;0,800;-5,655;-0,017;-0,006;0,006;0,800;-1,868;-0,017;-0,006;0,006;0,800;-4,590;-0,017;-0,006;0,006;0,800;0,052;0,000;-0,006;0,006
0,850;-1,396;-0,017;-0,006;0,006;0,850;-0,052;0,000;-0,006;0,006;0,850;0,052;0,000;-0,006;0,006;0,850;0,035;0,000;-0,006;0,006;0,850;0,000;0,000;-0,006;0,006;0,850;-6,213;-0,017;-0,006;0,006;0,850;-5,882;-0,017;-0,006;0,006;0,850;-2,688;-0,017;-0,006;0,006;0,850;-4,939;-0,017;-0,006;0,006;0,850;0,017;0,000;-0,006;0,006
0,900;-1,693;-0,017;-0,006;0,006;0,900;-0,175;0,000;-0,006;0,006;0,900;0,070;0,000;-0,006;0,006;0,900;0,052;0,000;-0,006;0,006;0,900;-0,105;0,000;-0,006;0,006;0,900;-6,440;-0,017;-0,006;0,006;0,900;-5,829;-0,017;-0,006;0,006;0,900;-3,368;-0,017;-0,006;0,006;0,900;-5,027;-0,017;-0,006;0,006;0,900;0,017;0,000;-0,006;0,006
0,950;-2,007;-0,017;-0,006;0,006;0,950;-0,419;0,000;-0,006;0,006;0,950;0,052;0,000;-0,006;0,006;0,950;0,017;0,000;-0,006;0,006;0,950;-0,314;0,000;-0,006;0,006;0,950;-6,353;-0,017;-0,006;0,006;0,950;-5,498;-0,017;-0,006;0,006;0,950;-3,875;-0,017;-0,006;0,006;0,950;-4,887;-0,017;-0,006;0,006;0,950;0,052;0,000;-0,006;0,006
1,000;-2,321;-0,017;-0,006;0,006;1,000;-0,803;0,000;-0,006;0,006;1,000;0,070;0,000;-0,006;0,006;1,000;-0,140;0,000;-0,006;0,006;1,000;-0,716;0,000;-0,006;0,006;1,000;-5,969;-0,017;-0,006;0,006;1,000;-4,939;-0,017;-0,006;0,006;1,000;-4,171;-0,017;-0,006;0,006;1,000;-4,520;-0,017;-0,006;0,006;1,000;0,035;0,000;-0,006;0,006
1,050;-2,601;-0,017;-0,005;0,006;1,050;-1,292;0,000;-0,006;0,006;1,050;0,070;0,000;-0,006;0,006;1,050;-0,419;0,000;-0,006;0,006;1,050;-1,484;-0,017;-0,006;0,006;1,050;-5,306;-0,017;-0,006;0,006;1,050;-4,136;-0,017;-0,006;0,006;1,050;-4,276;-0,017;-0,006;0,006;1,050;-3,927;-0,017;-0,006;0,006;1,050;-0,140;0,000;-0,006;0,006
1,100;-2,845;-0,017;-0,005;0,006;1,100;-1,868;-0,017;-0,006;0,006;1,100;0,052;0,000;-0,006;0,006;1,100;-0,855;0,000;-0,006;0,006;1,100;-2,496;-0,017;-0,006;0,006;1,100;-4,416;-0,017;-0,006;0,006;1,100;-3,159;-0,017;-0,006;0,006;1,100;-4,171;-0,017;-0,006;0,006;1,100;-3,176;-0,017;-0,006;0,006;1,100;-0,820;0,000;-0,006;0,006
1,150;-3,194;-0,017;-0,006;0,006;1,150;-2,548;-0,017;-0,006;0,006;1,150;0,052;0,000;-0,006;0,006;1,150;-1,833;-0,017;-0,006;0,006;1,150;-3,421;-0,017;-0,006;0,006;1,150;-3,316;-0,017;-0,006;0,006;1,150;-2,042;-0,017;-0,006;0,006;1,150;-3,857;-0,017;-0,006;0,006;1,150;-2,269;-0,017;-0,006;0,006;1,150;-2,077;-0,017;-0,006;0,006
1,200;-3,718;-0,017;-0,006;0,006;1,200;-3,473;-0,017;-0,006;0,006;1,200;0,052;0,000;-0,006;0,006;1,200;-3,089;-0,017;-0,006;0,006;1,200;-4,154;-0,017;-0,006;0,006;1,200;-2,077;-0,017;-0,006;0,006;1,200;-0,855;-0,017;-0,006;0,006;1,200;-3,368;-0,017;-0,006;0,006;1,200;-1,274;-0,017;-0,006;0,006;1,200;-3,281;-0,017;-0,006;0,006
1,250;-4,119;-0,017;-0,006;0,006;1,250;-4,206;-0,017;-0,006;0,006;1,250;0,052;0,000;-0,006;0,006;1,250;-4,171;-0,017;-0,006;0,006;1,250;-4,677;-0,017;-0,006;0,006;1,250;-0,750;-0,017;-0,006;0,006;1,250;0,384;0,000;-0,006;0,006;1,250;-2,740;-0,017;-0,006;0,006;1,250;-0,209;-0,017;-0,006;0,006;1,250;-4,311;-0,017;-0,006;0,006
1,300;-4,328;-0,017;-0,006;0,006;1,300;-4,730;-0,017;-0,006;0,006;1,300;0,052;0,000;-0,006;0,006;1,300;-5,061;-0,017;-0,006;0,006;1,300;-4,957;-0,017;-0,006;0,006;1,300;0,611;0,000;-0,006;0,006;1,300;1,553;0,000;-0,006;0,006;1,300;-1,990;-0,017;-0,006;0,006;1,300;0,820;0,000;-0,006;0,006;1,300;-5,131;-0,017;-0,006;0,006
1,350;-4,311;-0,017;-0,006;0,006;1,350;-5,009;-0,017;-0,006;0,006;1,350;0,035;0,000;-0,006;0,006;1,350;-5,690;-0,017;-0,006;0,006;1,350;-4,992;-0,017;-0,006;0,006;1,350;1,902;0,000;-0,006;0,006;1,350;2,635;0,000;-0,006;0,006;1,350;-1,134;-0,017;-0,006;0,006;1,350;1,815;0,000;-0,006;0,006;1,350;-5,690;-0,017;-0,006;0,006
