"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
0,500;-1,344;-0,017;-0,005;0,006;0,500;-1,222;-0,017;-0,005;0,006;0,500;-1,833;-0,017;-0,005;0,006;0,500;-1,082;0,000;-0,005;0,006;0,500;-1,920;-0,017;-0,005;0,006;0,500;-1,658;-0,017;-0,005;0,006;0,500;0,000;0,017;-0,005;0,006;0,500;-1,117;0,000;-0,005;0,006;0,500;-0,349;0,000;-0,005;0,006;0,500;0,017;0,000;-0,005;0,006
0,550;-1,466;-0,017;-0,005;0,006;0,550;-1,379;-0,017;-0,005;0,006;0,550;-1,902;-0,017;-0,005;0,006;0,550;-1,239;0,000;-0,005;0,006;0,550;-2,147;-0,017;-0,005;0,006;0,550;-1,780;-0,017;-0,006;0,006;0,550;0,000;0,017;-0,005;0,006;0,550;-1,379;0,000;-0,005;0,006;0,550;-0,628;0,000;-0,005;0,006;0,550;0,000;0,000;-0,005;0,006
0,600;-1,588;-0,017;-0,005;0,006;0,600;-1,518;-0,017;-0,005;0,006;0,600;-1,990;-0,017;-0,005;0,006;0,600;-1,396;0,000;-0,005;0,006;0,600;-2,321;-0,017;-0,005;0,006;0,600;-1,885;-0,017;-0,005;0,006;0,600;0,000;0,017;-0,005;0,006;0,600;-1,641;-0,017;-0,005;0,006;0,600;-0,977;0,000;-0,005;0,006;0,600;0,000;0,000;-0,005;0,006
0,650;-1,693;-0,017;-0,005;0,006;0,650;-1,676;-0,017;-0,005;0,006;0,650;-2,042;-0,017;-0,005;0,006;0,650;-1,571;-0,017;-0,005;0,006;0,650;-2,374;-0,017;-0,005;0,006;0,650;-1,955;-0,017;-0,005;0,006;0,650;0,000;0,017;-0,005;0,006;0,650;-1,902;-0,017;-0,005;0,006;0,650;-1,292;0,000;-0,005;0,006;0,650;-0,017;0,000;-0,005;0,006
0,700;-1,798;-0,017;-0,005;0,006;0,700;-1,780;-0,017;-0,005;0,006;0,700;-2,025;-0,017;-0,005;0,006;0,700;-1,745;-0,017;-0,005;0,006;0,700;-2,304;-0,017;-0,005;0,006;0,700;-2,007;-0,017;-0,005;0,006;0,700;0,017;0,017;-0,005;0,006;0,700;-2,217;-0,017;-0,005;0,006;0,700;-1,588;0,000;-0,006;0,006;0,700;-0,017;0,000;-0,005;0,006
0,750;-1,885;-0,017;-0,005;0,006;0,750;-1,850;-0,017;-0,005;0,006;0,750;-1,885;-0,017;-0,005;0,006;0,750;-1,937;-0,017;-0,005;0,006;0,750;-2,112;-0,017;-0,005;0,006;0,750;-2,042;-0,017;-0,005;0,006;0,750;0,017;0,017;-0,005;0,006;0,750;-2,548;-0,017;-0,005;0,006;0,750;-1,990;-0,017;-0,005;0,006;0,750;-0,035;0,000;-0,005;0,006
0,800;-1,990;-0,017;-0,005;0,006;0,800;-1,868;-0,017;-0,005;0,006;0,800;-1,623;-0,017;-0,005;0,006;0,800;-2,129;-0,017;-0,005;0,006;0,800;-1,850;-0,017;-0,005;0,006;0,800;-2,059;-0,017;-0,005;0,006;0,800;0,017;0,017;-0,005;0,006;0,800;-3,002;-0,017;-0,005;0,006;0,800;-2,461;-0,017;-0,005;0,006;0,800;-0,070;0,000;-0,005;0,006
0,850;-2,059;-0,017;-0,005;0,006;0,850;-1,780;-0,017;-0,005;0,006;0,850;-1,292;-0,017;-0,005;0,006;0,850;-2,217;-0,017;-0,005;0,006;0,850;-1,484;-0,017;-0,005;0,006;0,850;-2,042;-0,017;-0,005;0,006;0,850;0,017;0,017;-0,005;0,006;0,850;-3,508;-0,017;-0,005;0,006;0,850;-3,054;-0,017;-0,005;0,006;0,850;-0,192;0,000;-0,005;0,006
0,900;-2,112;-0,017;-0,005;0,006;0,900;-1,588;-0,017;-0,005;0,006;0,900;-0,873;-0,017;-0,005;0,006;0,900;-2,286;-0,017;-0,005;0,006;0,900;-1,047;-0,017;-0,005;0,006;0,900;-1,937;-0,017;-0,006;0,006;0,900;-0,017;0,017;-0,005;0,006;0,900;-3,857;-0,017;-0,005;0,006;0,900;-3,578;-0,017;-0,005;0,006;0,900;-0,401;0,000;-0,005;0,006
0,950;-2,164;-0,017;-0,005;0,006;0,950;-1,326;-0,017;-0,005;0,006;0,950;-0,384;-0,017;-0,005;0,006;0,950;-2,356;-0,017;-0,005;0,006;0,950;-0,576;-0,017;-0,005;0,006;0,950;-1,710;-0,017;-0,006;0,006;0,950;-0,140;0,017;-0,005;0,006;0,950;-4,014;-0,017;-0,005;0,006;0,950;-3,910;-0,017;-0,005;0,006;0,950;-0,733;0,000;-0,005;0,006
1,000;-2,182;-0,017;-0,005;0,006;1,000;-0,977;-0,017;-0,005;0,006;1,000;0,122;-0,017;-0,005;0,006;1,000;-2,391;-0,017;-0,005;0,006;1,000;-0,087;0,000;-0,005;0,006;1,000;-1,379;-0,017;-0,005;0,006;1,000;-0,332;0,017;-0,005;0,006;1,000;-3,962;-0,017;-0,005;0,006;1,000;-4,049;-0,017;-0,005;0,006;1,000;-1,117;0,000;-0,005;0,006
1,050;-2,234;-0,017;-0,005;0,006;1,050;-0,576;-0,017;-0,005;0,006;1,050;0,646;0,000;-0,005;0,006;1,050;-2,409;-0,017;-0,005;0,006;1,050;0,419;0,000;-0,005;0,006;1,050;-0,977;-0,017;-0,005;0,006;1,050;-0,559;0,017;-0,005;0,006;1,050;-3,718;-0,017;-0,005;0,006;1,050;-3,979;-0,017;-0,005;0,006;1,050;-1,518;0,000;-0,005;0,006
1,100;-2,269;-0,017;-0,005;0,006;1,100;-0,140;-0,017;-0,005;0,006;1,100;1,152;0,000;-0,005;0,006;1,100;-2,374;-0,017;-0,005;0,006;1,100;0,890;0,000;-0,005;0,006;1,100;-0,524;-0,017;-0,005;0,006;1,100;-0,855;0,017;-0,005;0,006;1,100;-3,316;-0,017;-0,005;0,006;1,100;-3,735;-0,017;-0,005;0,006;1,100;-2,007;-0,017;-0,005;0,006
1,150;-2,164;-0,017;-0,005;0,006;1,150;0,314;0,000;-0,005;0,006;1,150;1,623;0,000;-0,005;0,006;1,150;-2,217;-0,017;-0,005;0,006;1,150;1,309;0,000;-0,005;0,006;1,150;-0,017;0,000;-0,005;0,006;1,150;-1,152;0,017;-0,005;0,006;1,150;-2,740;-0,017;-0,005;0,006;1,150;-3,299;-0,017;-0,005;0,006;1,150;-2,531;-0,017;-0,005;0,006
1,200;-1,972;-0,017;-0,005;0,006;1,200;0,768;0,000;-0,005;0,006;1,200;2,025;0,000;-0,005;0,006;1,200;-1,972;-0,017;-0,005;0,006;1,200;1,658;0,000;-0,005;0,006;1,200;0,489;0,000;-0,005;0,006;1,200;-1,361;0,000;-0,005;0,006;1,200;-2,059;-0,017;-0,005;0,006;1,200;-2,705;-0,017;-0,005;0,006;1,200;-3,194;-0,017;-0,005;0,006
1,250;-1,658;-0,017;-0,005;0,006;1,250;1,204;0,000;-0,005;0,006;1,250;2,339;0,000;-0,005;0,006;1,250;-1,623;-0,017;-0,005;0,006;1,250;1,902;0,000;-0,005;0,006;1,250;0,995;0,000;-0,005;0,006;1,250;-1,518;0,000;-0,005;0,006;1,250;-1,292;-0,017;-0,005;0,006;1,250;-2,007;-0,017;-0,005;0,006;1,250;-3,752;-0,017;-0,005;0,006
1,300;-1,274;-0,017;-0,005;0,006;1,300;1,571;0,000;-0,005;0,006;1,300;2,548;0,000;-0,005;0,006;1,300;-1,204;-0,017;-0,005;0,006;1,300;2,042;0,000;-0,005;0,006;1,300;1,466;0,000;-0,005;0,006;1,300;-1,710;0,000;-0,005;0,006;1,300;-0,454;-0,017;-0,005;0,006;1,300;-1,204;-0,017;-0,005;0,006;1,300;-4,119;-0,017;-0,005;0,006
1,350;-0,820;-0,017;-0,005;0,006;1,350;1,885;0,000;-0,005;0,006;1,350;2,653;0,000;-0,005;0,006;1,350;-0,750;-0,017;-0,005;0,006;1,350;2,059;0,000;-0,005;0,006;1,350;1,868;0,000;-0,005;0,006;1,350;-1,885;0,000;-0,005;0,006;1,350;0,384;0,000;-0,005;0,006;1,350;-0,367;0,000;-0,005;0,006;1,350;-4,276;-0,017;-0,005;0,006
1,400;-0,332;-0,017;-0,005;0,006;1,400;2,094;0,000;-0,005;0,006;1,400;2,653;0,000;-0,005;0,006;1,400;-0,244;-0,017;-0,005;0,006;1,400;1,972;0,000;-0,005;0,006;1,400;2,199;0,000;-0,005;0,006;1,400;-2,094;0,000;-0,005;0,006;1,400;1,187;0,000;-0,005;0,006;1,400;0,489;0,000;-0,005;0,006;1,400;-4,224;-0,017;-0,005;0,006
1,450;0,192;0,000;-0,005;0,006;1,450;2,234;0,000;-0,005;0,006;1,450;2,531;0,000;-0,005;0,006;1,450;0,262;0,000;-0,005;0,006;1,450;1,798;0,000;-0,005;0,006;1,450;2,426;0,000;-0,005;0,006;1,450;-2,286;0,000;-0,005;0,006;1,450;1,920;0,000;-0,005;0,006;1,450;1,309;0,000;-0,005;0,006;1,450;-3,962;-0,017;-0,005;0,006
1,500;0,698;0,000;-0,005;0,006;1,500;2,251;0,000;-0,005;0,006;1,500;2,304;0,000;-0,005;0,006;1,500;0,733;0,000;-0,005;0,006;1,500;1,518;0,000;-0,005;0,006;1,500;2,548;0,000;-0,005;0,006;1,500;-2,443;0,000;-0,005;0,006;1,500;2,566;0,000;-0,005;0,006;1,500;2,059;0,000;-0,005;0,006;1,500;-3,526;-0,017;-0,005;0,006
1,550;1,169;0,000;-0,005;0,006;1,550;2,182;0,000;-0,005;0,006;1,550;1,990;0,000;-0,005;0,006;1,550;1,169;0,000;-0,005;0,006;1,550;1,187;0,000;-0,005;0,006;1,550;2,548;0,000;-0,005;0,006;1,550;-2,635;0,000;-0,005;0,006;1,550;3,054;0,000;-0,005;0,006;1,550;2,688;0,000;-0,006;0,006;1,550;-2,915;-0,017;-0,005;0,006
1,600;1,606;0,000;-0,005;0,006;1,600;2,007;0,000;-0,005;0,006;1,600;1,606;0,000;-0,005;0,006;1,600;1,536;0,000;-0,005;0,006;1,600;0,803;0,000;-0,005;0,006;1,600;2,443;0,000;-0,005;0,006;1,600;-2,897;0,000;-0,005;0,006;1,600;3,386;0,000;-0,005;0,006;1,600;3,194;0,000;-0,005;0,006;1,600;-2,182;-0,017;-0,005;0,006
1,650;1,937;0,000;-0,005;0,006;1,650;1,763;0,000;-0,005;0,006;1,650;1,187;0,000;-0,005;0,006;1,650;1,833;0,000;-0,005;0,006;1,650;0,384;0,000;-0,005;0,006;1,650;2,234;0,000;-0,005;0,006;1,650;-3,246;0,000;-0,005;0,006;1,650;3,526;0,000;-0,005;0,006;1,650;3,508;0,000;-0,005;0,006;1,650;-1,344;-0,017;-0,005;0,006
1,700;2,164;0,000;-0,005;0,006;1,700;1,449;0,000;-0,005;0,006;1,700;0,716;0,000;-0,005;0,006;1,700;2,007;0,000;-0,005;0,006;1,700;-0,035;0,000;-0,005;0,006;1,700;1,937;0,000;-0,005;0,006;1,700;-3,630;0,000;-0,005;0,006;1,700;3,491;0,000;-0,005;0,006;1,700;3,648;0,000;-0,005;0,006;1,700;-0,454;0,000;-0,005;0,006
1,750;2,286;0,000;-0,005;0,006;1,750;1,082;0,000;-0,005;0,006;1,750;0,244;0,000;-0,005;0,006;1,750;2,094;0,000;-0,005;0,006;1,750;-0,454;0,000;-0,005;0,006;1,750;1,571;0,000;-0,006;0,006;1,750;-3,875;0,000;-0,005;0,006;1,750;3,281;0,000;-0,005;0,006;1,750;3,613;0,000;-0,005;0,006;1,750;0,454;0,000;-0,005;0,006
