"Time (s) Run #1";"Angle, Ch 1+2 (rad) Run #1";"Angular Velocity, Ch 1+2 (rad/s) Run #1";"Angular Acceleration, Ch 1+2 (rad/s²) Run #1";"Position, Ch 1+2 (m) Run #1";"Velocity, Ch 1+2 (m/s) Run #1";"Acceleration, Ch 1+2 (m/s²) Run #1";"Angle, Ch 3+4 (rad) Run #1";"Angular Velocity, Ch 3+4 (rad/s) Run #1";"Angular Acceleration, Ch 3+4 (rad/s²) Run #1";"Position, Ch 3+4 (m) Run #1";"Velocity, Ch 3+4 (m/s) Run #1";"Acceleration, Ch 3+4 (m/s²) Run #1";"Output Voltage (V) Run #1";"Output Current (A) Run #1";"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angular Velocity, Ch 1+2 (rad/s) Run #2";"Angular Acceleration, Ch 1+2 (rad/s²) Run #2";"Position, Ch 1+2 (m) Run #2";"Velocity, Ch 1+2 (m/s) Run #2";"Acceleration, Ch 1+2 (m/s²) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Angular Velocity, Ch 3+4 (rad/s) Run #2";"Angular Acceleration, Ch 3+4 (rad/s²) Run #2";"Position, Ch 3+4 (m) Run #2";"Velocity, Ch 3+4 (m/s) Run #2";"Acceleration, Ch 3+4 (m/s²) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angular Velocity, Ch 1+2 (rad/s) Run #3";"Angular Acceleration, Ch 1+2 (rad/s²) Run #3";"Position, Ch 1+2 (m) Run #3";"Velocity, Ch 1+2 (m/s) Run #3";"Acceleration, Ch 1+2 (m/s²) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Angular Velocity, Ch 3+4 (rad/s) Run #3";"Angular Acceleration, Ch 3+4 (rad/s²) Run #3";"Position, Ch 3+4 (m) Run #3";"Velocity, Ch 3+4 (m/s) Run #3";"Acceleration, Ch 3+4 (m/s²) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angular Velocity, Ch 1+2 (rad/s) Run #4";"Angular Acceleration, Ch 1+2 (rad/s²) Run #4";"Position, Ch 1+2 (m) Run #4";"Velocity, Ch 1+2 (m/s) Run #4";"Acceleration, Ch 1+2 (m/s²) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Angular Velocity, Ch 3+4 (rad/s) Run #4";"Angular Acceleration, Ch 3+4 (rad/s²) Run #4";"Position, Ch 3+4 (m) Run #4";"Velocity, Ch 3+4 (m/s) Run #4";"Acceleration, Ch 3+4 (m/s²) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4";"Time (s) Run #5";"Angle, Ch 1+2 (rad) Run #5";"Angular Velocity, Ch 1+2 (rad/s) Run #5";"Angular Acceleration, Ch 1+2 (rad/s²) Run #5";"Position, Ch 1+2 (m) Run #5";"Velocity, Ch 1+2 (m/s) Run #5";"Acceleration, Ch 1+2 (m/s²) Run #5";"Angle, Ch 3+4 (rad) Run #5";"Angular Velocity, Ch 3+4 (rad/s) Run #5";"Angular Acceleration, Ch 3+4 (rad/s²) Run #5";"Position, Ch 3+4 (m) Run #5";"Velocity, Ch 3+4 (m/s) Run #5";"Acceleration, Ch 3+4 (m/s²) Run #5";"Output Voltage (V) Run #5";"Output Current (A) Run #5";"Time (s) Run #6";"Angle, Ch 1+2 (rad) Run #6";"Angular Velocity, Ch 1+2 (rad/s) Run #6";"Angular Acceleration, Ch 1+2 (rad/s²) Run #6";"Position, Ch 1+2 (m) Run #6";"Velocity, Ch 1+2 (m/s) Run #6";"Acceleration, Ch 1+2 (m/s²) Run #6";"Angle, Ch 3+4 (rad) Run #6";"Angular Velocity, Ch 3+4 (rad/s) Run #6";"Angular Acceleration, Ch 3+4 (rad/s²) Run #6";"Position, Ch 3+4 (m) Run #6";"Velocity, Ch 3+4 (m/s) Run #6";"Acceleration, Ch 3+4 (m/s²) Run #6";"Output Voltage (V) Run #6";"Output Current (A) Run #6";"Time (s) Run #7";"Angle, Ch 1+2 (rad) Run #7";"Angular Velocity, Ch 1+2 (rad/s) Run #7";"Angular Acceleration, Ch 1+2 (rad/s²) Run #7";"Position, Ch 1+2 (m) Run #7";"Velocity, Ch 1+2 (m/s) Run #7";"Acceleration, Ch 1+2 (m/s²) Run #7";"Angle, Ch 3+4 (rad) Run #7";"Angular Velocity, Ch 3+4 (rad/s) Run #7";"Angular Acceleration, Ch 3+4 (rad/s²) Run #7";"Position, Ch 3+4 (m) Run #7";"Velocity, Ch 3+4 (m/s) Run #7";"Acceleration, Ch 3+4 (m/s²) Run #7";"Output Voltage (V) Run #7";"Output Current (A) Run #7";"Time (s) Run #8";"Angle, Ch 1+2 (rad) Run #8";"Angular Velocity, Ch 1+2 (rad/s) Run #8";"Angular Acceleration, Ch 1+2 (rad/s²) Run #8";"Position, Ch 1+2 (m) Run #8";"Velocity, Ch 1+2 (m/s) Run #8";"Acceleration, Ch 1+2 (m/s²) Run #8";"Angle, Ch 3+4 (rad) Run #8";"Angular Velocity, Ch 3+4 (rad/s) Run #8";"Angular Acceleration, Ch 3+4 (rad/s²) Run #8";"Position, Ch 3+4 (m) Run #8";"Velocity, Ch 3+4 (m/s) Run #8";"Acceleration, Ch 3+4 (m/s²) Run #8";"Output Voltage (V) Run #8";"Output Current (A) Run #8";"Time (s) Run #9";"Angle, Ch 1+2 (rad) Run #9";"Angular Velocity, Ch 1+2 (rad/s) Run #9";"Angular Acceleration, Ch 1+2 (rad/s²) Run #9";"Position, Ch 1+2 (m) Run #9";"Velocity, Ch 1+2 (m/s) Run #9";"Acceleration, Ch 1+2 (m/s²) Run #9";"Angle, Ch 3+4 (rad) Run #9";"Angular Velocity, Ch 3+4 (rad/s) Run #9";"Angular Acceleration, Ch 3+4 (rad/s²) Run #9";"Position, Ch 3+4 (m) Run #9";"Velocity, Ch 3+4 (m/s) Run #9";"Acceleration, Ch 3+4 (m/s²) Run #9";"Output Voltage (V) Run #9";"Output Current (A) Run #9";"Time (s) Run #10";"Angle, Ch 1+2 (rad) Run #10";"Angular Velocity, Ch 1+2 (rad/s) Run #10";"Angular Acceleration, Ch 1+2 (rad/s²) Run #10";"Position, Ch 1+2 (m) Run #10";"Velocity, Ch 1+2 (m/s) Run #10";"Acceleration, Ch 1+2 (m/s²) Run #10";"Angle, Ch 3+4 (rad) Run #10";"Angular Velocity, Ch 3+4 (rad/s) Run #10";"Angular Acceleration, Ch 3+4 (rad/s²) Run #10";"Position, Ch 3+4 (m) Run #10";"Velocity, Ch 3+4 (m/s) Run #10";"Acceleration, Ch 3+4 (m/s²) Run #10";"Output Voltage (V) Run #10";"Output Current (A) Run #10"
2,350;0,733;-15,824;-9,114;0,0175;-0,378;-0,218;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,350;1,955;-17,395;-32,967;0,0467;-0,415;-0,787;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,350;2,583;17,453;-53,136;0,0617;0,417;-1,269;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,350;2,705;-18,035;-45,960;0,0646;-0,431;-1,097;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;2,350;1,030;-18,093;-16,096;0,0246;-0,432;-0,384;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;2,350;-4,957;4,072;90,951;-0,1183;0,097;2,171;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,350;-4,294;7,389;75,437;-0,1025;0,176;1,801;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,350;-3,211;-6,981;62,832;-0,0767;-0,167;1,500;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;2,350;-4,119;2,502;74,661;-0,0983;0,060;1,782;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,350;2,496;-18,326;-42,664;0,0596;-0,437;-1,019;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006
2,400;-0,087;-15,941;5,430;-0,0021;-0,381;0,130;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,006;0,006;2,400;1,030;-18,617;-15,320;0,0246;-0,444;-0,366;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;2,400;3,403;14,312;-67,680;0,0812;0,342;-1,616;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;2,400;1,728;-19,955;-28,507;0,0412;-0,476;-0,681;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,400;0,087;-18,500;0,970;0,0021;-0,442;0,023;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,400;-4,625;8,552;83,194;-0,1104;0,204;1,986;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,400;-3,822;10,996;65,935;-0,0912;0,263;1,574;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,400;-3,491;-3,607;67,486;-0,0833;-0,086;1,611;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,400;-3,892;6,167;69,231;-0,0929;0,147;1,653;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,400;1,501;-20,071;-24,822;0,0358;-0,479;-0,593;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006
2,450;-0,890;-15,301;20,168;-0,0212;-0,365;0,481;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,006;0,006;2,450;0,052;-18,908;2,715;0,0012;-0,451;0,065;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,450;4,032;10,530;-78,540;0,0962;0,251;-1,875;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,450;0,681;-20,944;-9,696;0,0163;-0,500;-0,231;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,006;0,006;2,450;-0,855;-18,035;18,423;-0,0204;-0,431;0,440;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,006;0,006;2,450;-4,084;12,508;72,140;-0,0975;0,299;1,722;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,450;-3,176;14,079;53,717;-0,0758;0,336;1,282;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,450;-3,578;-0,058;67,486;-0,0854;-0,001;1,611;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,450;-3,491;9,483;61,280;-0,0833;0,226;1,463;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,450;0,454;-20,828;-5,818;0,0108;-0,497;-0,139;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006
2,500;-1,641;-13,904;34,325;-0,0392;-0,332;0,819;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,006;0,006;2,500;-0,890;-18,326;20,168;-0,0212;-0,438;0,481;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,006;0,006;2,500;4,468;6,341;-85,715;0,1067;0,151;-2,046;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,500;-0,401;-20,944;10,084;-0,0096;-0,500;0,241;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,006;0,006;2,500;-1,745;-16,639;35,294;-0,0417;-0,397;0,843;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,006;0,006;2,500;-3,351;15,824;58,565;-0,0800;0,378;1,398;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,500;-2,391;16,464;38,979;-0,0571;0,393;0,931;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,500;-3,491;3,316;63,414;-0,0833;0,079;1,514;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,500;-2,932;12,392;50,615;-0,0700;0,296;1,208;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,500;-0,611;-20,653;13,575;-0,0146;-0,493;0,324;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,006;0,006
2,550;-2,304;-11,810;46,930;-0,0550;-0,282;1,120;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,005;0,006;2,550;-1,798;-16,872;36,846;-0,0429;-0,403;0,880;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,006;0,006;2,550;4,677;1,862;-89,012;0,1117;0,044;-2,125;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,550;-1,449;-19,955;29,865;-0,0346;-0,476;0,713;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,006;0,006;2,550;-2,548;-14,428;50,421;-0,0608;-0,344;1,204;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,006;0,006;2,550;-2,478;18,442;42,470;-0,0592;0,440;1,014;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;2,550;-1,501;18,035;22,495;-0,0358;0,431;0,537;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;2,550;-3,229;6,341;56,626;-0,0771;0,151;1,352;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,550;-2,234;14,661;37,234;-0,0533;0,350;0,889;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,550;-1,641;-19,490;32,773;-0,0392;-0,465;0,782;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,006;0,006
2,600;-2,845;-9,134;57,208;-0,0679;-0,218;1,366;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,005;0,006;2,600;-2,618;-14,603;51,972;-0,0625;-0,349;1,241;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,006;0,006;2,600;4,660;-2,734;-87,460;0,1112;-0,065;-2,088;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,600;-2,426;-17,919;48,287;-0,0579;-0,428;1,153;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,006;0,006;2,600;-3,211;-11,519;62,832;-0,0767;-0,275;1,500;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,006;0,006;2,600;-1,484;20,188;23,659;-0,0354;0,482;0,565;-0,017;0,058;0,776;-4,1667E-4;0,001;0,019;-0,006;0,006;2,600;-0,559;18,733;5,042;-0,0133;0,447;0,120;-0,017;0,058;0,776;-4,1667E-4;0,001;0,019;-0,006;0,006;2,600;-2,845;9,018;48,287;-0,0679;0,215;1,153;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,600;-1,431;16,173;22,108;-0,0342;0,386;0,528;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;2,600;-2,601;-17,337;50,808;-0,0621;-0,414;1,213;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;-0,006;0,006
2,650;-3,229;-5,992;64,383;-0,0771;-0,143;1,537;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,650;-3,281;-11,577;64,383;-0,0783;-0,276;1,537;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,006;0,006;2,650;4,398;-7,098;-80,673;0,1050;-0,169;-1,926;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,650;-3,281;-15,010;63,801;-0,0783;-0,358;1,523;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;2,650;-3,718;-8,029;71,752;-0,0887;-0,192;1,713;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;2,650;-0,419;20,886;2,909;-0,0100;0,499;0,069;-0,017;0,116;0,388;-4,1667E-4;0,003;0,009;-0,006;0,006;2,650;0,401;18,559;-12,799;0,0096;0,443;-0,306;-0,017;0,116;0,388;-4,1667E-4;0,003;0,009;-0,006;0,006;2,650;-2,321;11,228;38,591;-0,0554;0,268;0,921;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,650;-0,593;16,872;6,593;-0,0142;0,403;0,157;-0,017;0,058;0,776;-4,1667E-4;0,001;0,019;-0,006;0,006;2,650;-3,403;-14,312;66,129;-0,0812;-0,342;1,579;-0,017;-0,058;0,776;-4,1667E-4;-0,001;0,019;-0,006;0,006
2,700;-3,456;-2,560;67,680;-0,0825;-0,061;1,616;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,700;-3,787;-8,029;73,304;-0,0904;-0,192;1,750;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,005;0,006;2,700;3,927;-10,937;-70,007;0,0937;-0,261;-1,671;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,700;-3,944;-11,403;75,631;-0,0942;-0,272;1,806;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,700;-4,032;-4,189;76,213;-0,0962;-0,100;1,819;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,700;0,646;20,479;-18,035;0,0154;0,489;-0,431;0,000;0,116;-0,388;0,0000;0,003;-0,009;-0,006;0,006;2,700;1,326;17,453;-30,446;0,0317;0,417;-0,727;0,000;0,116;-0,388;0,0000;0,003;-0,009;-0,006;0,006;2,700;-1,693;12,915;27,537;-0,0404;0,308;0,657;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;2,700;0,279;16,813;-9,114;0,0067;0,401;-0,218;-0,017;0,116;0,388;-4,1667E-4;0,003;0,009;-0,006;0,006;2,700;-4,049;-10,588;77,958;-0,0967;-0,253;1,861;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006
2,750;-3,491;0,931;66,904;-0,0833;0,022;1,597;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,750;-4,102;-4,131;78,152;-0,0979;-0,099;1,866;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,750;3,281;-14,137;-57,208;0,0783;-0,338;-1,366;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,750;-4,433;-7,330;83,970;-0,1058;-0,175;2,005;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,750;-4,136;-0,233;76,213;-0,0987;-0,006;1,819;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,750;1,658;19,024;-37,622;0,0396;0,454;-0,898;0,000;0,058;-0,776;0,0000;0,001;-0,019;-0,006;0,006;2,750;2,182;15,475;-46,736;0,0521;0,369;-1,116;0,000;0,058;-0,776;0,0000;0,001;-0,019;-0,006;0,006;2,750;-1,012;14,021;15,126;-0,0242;0,335;0,361;-0,017;0,058;0,776;-4,1667E-4;0,001;0,019;-0,006;0,006;2,750;1,117;15,999;-25,404;0,0267;0,382;-0,606;0,000;0,116;-0,388;0,0000;0,003;-0,009;-0,006;0,006;2,750;-4,485;-6,400;85,715;-0,1071;-0,153;2,046;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006
2,800;-3,351;4,247;62,832;-0,0800;0,101;1,500;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,800;-4,206;-0,058;78,734;-0,1004;-0,001;1,880;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,800;2,496;-16,697;-42,858;0,0596;-0,399;-1,023;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,800;-4,695;-2,909;88,236;-0,1121;-0,069;2,106;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,800;-4,049;3,549;72,722;-0,0967;0,085;1,736;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,800;2,583;16,639;-54,687;0,0617;0,397;-1,306;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,800;2,897;12,683;-60,311;0,0692;0,303;-1,440;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,800;-0,279;14,486;1,357;-0,0067;0,346;0,032;-0,017;0,116;0,388;-4,1667E-4;0,003;0,009;-0,006;0,006;2,800;1,902;14,312;-42,082;0,0454;0,342;-1,005;0,000;0,058;-0,776;0,0000;0,001;-0,019;-0,006;0,006;2,800;-4,695;-1,862;88,624;-0,1121;-0,044;2,116;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006
2,850;-3,054;7,272;56,238;-0,0729;0,174;1,343;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,850;-4,102;3,898;75,243;-0,0979;0,093;1,796;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,850;1,588;-18,500;-26,568;0,0379;-0,442;-0,634;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,850;-4,730;1,687;87,654;-0,1129;0,040;2,093;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,850;-3,770;7,098;66,710;-0,0900;0,169;1,593;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,850;3,351;13,439;-68,456;0,0800;0,321;-1,634;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;2,850;3,473;9,308;-70,395;0,0829;0,222;-1,681;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;2,850;0,471;14,195;-12,799;0,0112;0,339;-0,306;0,000;0,116;-0,388;0,0000;0,003;-0,009;-0,006;0,006;2,850;2,583;11,752;-57,208;0,0617;0,281;-1,366;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,850;-4,677;2,676;86,491;-0,1117;0,064;2,065;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006
2,900;-2,618;9,948;47,318;-0,0625;0,238;1,130;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,900;-3,805;7,563;68,456;-0,0908;0,181;1,634;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,900;0,611;-19,431;-8,533;0,0146;-0,464;-0,204;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;2,900;-4,520;6,050;82,030;-0,1079;0,144;1,958;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,900;-3,334;10,297;58,372;-0,0796;0,246;1,394;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,900;3,944;9,657;-78,540;0,0942;0,231;-1,875;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,900;3,840;5,527;-76,601;0,0917;0,132;-1,829;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,900;1,169;13,148;-26,374;0,0279;0,314;-0,630;0,000;0,058;-0,776;0,0000;0,001;-0,019;-0,006;0,006;2,900;3,107;8,436;-67,874;0,0742;0,201;-1,620;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;2,900;-4,416;6,923;79,897;-0,1054;0,165;1,907;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006
2,950;-2,042;12,101;36,070;-0,0487;0,289;0,861;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,005;0,006;2,950;-3,334;10,821;58,953;-0,0796;0,258;1,407;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,950;-0,384;-19,373;10,278;-0,0092;-0,462;0,245;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,950;-4,102;10,007;72,722;-0,0979;0,239;1,736;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;2,950;-2,723;13,032;47,318;-0,0650;0,311;1,130;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;2,950;4,328;5,469;-84,551;0,1033;0,131;-2,019;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,950;4,032;1,513;-78,734;0,0962;0,036;-1,880;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,950;1,798;11,519;-39,367;0,0429;0,275;-0,940;0,000;0,000;-0,582;0,0000;0,000;-0,014;-0,006;0,006;2,950;3,438;4,712;-72,528;0,0821;0,113;-1,731;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;2,950;-3,962;10,763;70,201;-0,0946;0,257;1,676;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006
3,000;-1,379;13,614;23,077;-0,0329;0,325;0,551;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;3,000;-2,705;13,555;46,930;-0,0646;0,324;1,120;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;3,000;-1,361;-18,384;28,701;-0,0325;-0,439;0,685;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;-0,006;0,006;3,000;-3,508;13,381;61,087;-0,0837;0,319;1,458;-0,017;0,000;0,000;-4,1667E-4;0,000;0,000;-0,006;0,006;3,000;-2,007;15,126;33,743;-0,0479;0,361;0,806;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006;3,000;4,503;1,047;-85,909;0,1075;0,025;-2,051;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;3,000;3,997;-2,502;-76,601;0,0954;-0,060;-1,829;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;3,000;2,339;9,250;-52,360;0,0558;0,221;-1,250;0,000;0,000;-0,194;0,0000;0,000;-0,005;-0,006;0,006;3,000;3,578;0,989;-71,946;0,0854;0,024;-1,718;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;3,000;-3,334;14,021;57,984;-0,0796;0,335;1,384;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006
3,050;-0,663;14,428;9,308;-0,0158;0,344;0,222;-0,017;0,058;0,776;-4,1667E-4;0,001;0,019;-0,006;0,006;3,050;-1,955;15,592;32,773;-0,0467;0,372;0,782;-0,017;0,058;0,776;-4,1667E-4;0,001;0,019;-0,006;0,006;3,050;-2,251;-16,464;45,572;-0,0537;-0,393;1,088;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;-0,006;0,006;3,050;-2,740;16,173;46,930;-0,0654;0,386;1,120;-0,017;0,000;0,194;-4,1667E-4;0,000;0,005;-0,006;0,006;3,050;-1,187;16,464;18,229;-0,0283;0,393;0,435;-0,017;0,058;0,776;-4,1667E-4;0,001;0,019;-0,006;0,006;3,050;4,433;-3,316;-82,418;0,1058;-0,079;-1,968;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;3,050;3,770;-6,283;-70,783;0,0900;-0,150;-1,690;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;3,050;2,758;6,283;-64,189;0,0658;0,150;-1,532;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;3,050;3,526;-2,560;-68,262;0,0842;-0,061;-1,630;0,000;0,000;0,000;0,0000;0,000;0,000;-0,006;0,006;3,050;-2,531;16,639;43,245;-0,0604;0,397;1,032;-0,017;0,000;0,582;-4,1667E-4;0,000;0,014;-0,006;0,006
